Date,Injury,Firstname,Lastname,City,TeamName
"Oct 30, 2015",Missed 3 games (lower body injury).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Oct 26, 2015","Lower body injury, injured reserve.",JAKE,GARDINER,TORONTO,MAPLELEAFS
"Oct 21, 2015","Undisclosed, day-to-day.",JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jul 29, 2014",Re-signed as a restricted free agent by the Toronto Maple Leafs to a five-year contract.,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jun 30, 2014",Toronto Maple Leafs tendered a qualifying offer.,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Mar 19, 2013",Recalled from Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 30, 2013",Assigned to Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 27, 2013",Recalled from Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 25, 2013",Assigned to Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 23, 2013",Missed 2 games (concussion).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 18, 2013","Concussion, injured reserve.",JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 13, 2013",Recalled from Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Sep 15, 2012",Assigned to Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Apr 08, 2012",Assigned to Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 16, 2012",Recalled from Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Jan 15, 2012",Assigned to Toronto (AHL).,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Mar 15, 2011",Signed by the Toronto Maple Leafs to a three-year entry-level contract.,JAKE,GARDINER,TORONTO,MAPLELEAFS
"Feb 09, 2011",Acquired from the Anaheim Ducks.,JAKE,GARDINER,TORONTO,MAPLELEAFS
