Date,Injury,Firstname,Lastname,City,TeamName
"Feb 03, 2018",Missed 2 games (illness).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 31, 2018","Illness, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jul 01, 2017",Signed as an unrestricted free agent by the Toronto Maple Leafs to a two-year contract.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 31, 2017",Missed 7 games (upper body injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 17, 2017","Upper body injury, sidelined indefinitely.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Feb 23, 2017",Acquired from the Carolina Hurricanes.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 17, 2016",Missed 1 game (illness).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 15, 2016","Illness, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jun 24, 2014",Signed by the Carolina Hurricanes to a three-year contract extension.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Sep 12, 2013",Signed as an unrestricted free agent by the Carolina Hurricanes to a one-year contract.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 26, 2013",Missed 1 game (upper body injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 24, 2013","Upper body injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Apr 07, 2012",Missed the last 2 regular season games (bruised foot).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Apr 05, 2012","Bruised foot, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Dec 13, 2011",Missed 8 games (lower body injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Dec 06, 2011","Lower body injury, injured reserve.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 25, 2011","Lower body injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 23, 2011",Missed 16 games (upper body injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Oct 17, 2011","Upper body injury, injured reserve.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 05, 2009",Missed 2 games (undisclosed).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Oct 31, 2009","Undisclosed, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 20, 2009",Missed 1 game (leg injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 17, 2009","Leg injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jul 02, 2008",Signed as an unrestricted free agent by the Atlanta Thrashers to a five-year contract.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Apr 03, 2008",Missed 1 game (head injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 30, 2008","Head injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 22, 2008",Missed 2 games (back injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 18, 2008","Back injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Feb 04, 2007","Concussion, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 26, 2007",Missed 2 games (shoulder injury).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 17, 2007","Shoulder injury, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Jul 11, 2006",Re-signed as a restricted free agent by the Columbus Blue Jackets to a two-year contract.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 07, 2006",Missed 3 games (sprained knee).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Mar 02, 2006","Sprained knee, day-to-day.",RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 29, 2005",Claimed off waivers from the Montreal Canadiens.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Oct 03, 2005",Assigned to Hamilton (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Oct 12, 2004",Re-signed by the Hamilton Bulldogs (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Jul 23, 2004",Re-signed by the Montreal Canadiens to a two-year contract.,RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 24, 2003",Assigned to Hamilton (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Jan 29, 2003",Assigned to Hamilton (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Dec 23, 2002",Recalled from Hamilton (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Nov 08, 2002",Assigned to Hamilton (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Apr 19, 2002",Recalled from Quebec (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
"Oct 01, 2001",Assigned to Quebec (AHL).,RON,HAINSEY,TORONTO,MAPLELEAFS
