Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Feb 26, 2018",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Jan 29, 2018",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Jan 27, 2018",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Jan 23, 2018",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Dec 26, 2017",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Dec 12, 2017",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Nov 07, 2017",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Oct 28, 2017",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Oct 02, 2017",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Apr 25, 2017",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Mar 27, 2017",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Oct 08, 2016",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Apr 08, 2016",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Mar 31, 2016",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Mar 06, 2016",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Feb 29, 2016",Recalled from the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Dec 13, 2015",Loaned to the Finnish National Junior Team (WJC).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Oct 04, 2015",Assigned to the Toronto Marlies (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Jul 01, 2015",Acquired from the Pittsburgh Penguins.,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Apr 03, 2015",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Oct 09, 2014",Assigned to the KalPa Kuopio (Fin).,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
"Jul 11, 2014",Signed by the Pittsburgh Penguins to a three-year entry-level contract.,KASPERI,KAPANEN,TORONTO,MAPLELEAFS
