Date,Injury,Firstname,Lastname,City,TeamName
"Jan 08, 2018",Missed 1 game (personal reasons).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 05, 2018","Personal reasons, day-to-day.",JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 17, 2017",Signed by the Toronto Maple Leafs to a one-year contract extension.,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Apr 23, 2017",Missed the last 9 regular season and all 6 playoff games (undisclosed).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Mar 25, 2017","Undisclosed, day-to-day.",JOSH,LEIVO,TORONTO,MAPLELEAFS
"Dec 10, 2016",Missed 18 games (lower body injury).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 20, 2016",Recalled from his conditioning assignment with the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 01, 2016",Assigned to the Toronto Marlies (AHL) for conditioning purposes.,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 11, 2016","Lower body injury, injured reserve.",JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jul 21, 2016",Re-signed as a restricted free agent by the Toronto Maple Leafs to a two-year contract.,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Mar 25, 2016",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Mar 19, 2016",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Feb 29, 2016",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Feb 23, 2016",Missed 4 games (upper body injury).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Feb 13, 2016","Upper body injury, injured reserve.",JOSH,LEIVO,TORONTO,MAPLELEAFS
"Feb 08, 2016",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 28, 2016",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 11, 2016",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Sep 23, 2015",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 29, 2015",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 26, 2015",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 22, 2015",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Jan 20, 2015",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 24, 2014",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 11, 2014",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 10, 2014",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Nov 07, 2014",Recalled from the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 09, 2014",Assigned to the Toronto Marlies (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 26, 2013",Assigned to Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 24, 2013",Recalled from Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 23, 2013",Assigned to Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Oct 09, 2013",Recalled from Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Sep 29, 2013",Assigned to Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Sep 21, 2013",Recalled from Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Sep 17, 2013",Assigned to Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Apr 16, 2013",Re-assigned to Toronto (AHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Mar 04, 2013",Signed by the Toronto Maple Leafs to a three-year entry-level contract.,JOSH,LEIVO,TORONTO,MAPLELEAFS
"Sep 21, 2011",Returned to his junior team (Sudbury-OHL).,JOSH,LEIVO,TORONTO,MAPLELEAFS
