Date,Injury,Firstname,Lastname,City,TeamName
"Jul 02, 2017",Signed as an unrestricted free agent by the Toronto Maple Leafs to a three-year contract.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jan 24, 2014",Signed by the San Jose Sharks to a three-year contract extension.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jun 24, 2010",Re-signed by the San Jose Sharks to a four-year contract.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"May 02, 2010",Missed the last playoff game (flu).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Apr 29, 2010","Undisclosed, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Apr 09, 2009",Missed 5 games (lower body injury).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Mar 30, 2009","Lower body injury, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Mar 26, 2009",Missed 1 game (personal reasons).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Mar 25, 2009","Personal reasons, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 20, 2008",Missed 4 games (groin).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 12, 2008","Groin, sidelined indefinitely.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Aug 31, 2007",Re-signed by the San Jose Sharks to a two-year contract extension.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Mar 06, 2007",Missed 3 games (upper body injury).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 28, 2007","Upper body injury, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 22, 2007",Missed 1 game (food poisoning).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 21, 2007","Food poisoning, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 18, 2007",Missed 1 game (upper body injury).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Feb 16, 2007","Upper body injury, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Aug 15, 2005",Re-signed as a restricted free agent by the San Jose Sharks to a three-year contract.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jan 22, 2004",Missed 1 game (knee injury).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jan 21, 2004","Knee injury, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jan 19, 2004",Missed 1 game (ankle injury).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jan 17, 2004","Ankle injury, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jul 11, 2003",Re-signed by the San Jose Sharks to a two-year contract.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jun 30, 2003",San Jose Sharks tendered a qualifying offer.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Jul 01, 2002",Re-signed by the San Jose Sharks.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Dec 08, 2001",Missed 1 game (undisclosed).,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Dec 06, 2001","Undisclosed, day-to-day.",PATRICK,MARLEAU,TORONTO,MAPLELEAFS
"Sep 18, 2001",Re-signed by the San Jose Sharks.,PATRICK,MARLEAU,TORONTO,MAPLELEAFS
