Date,Injury,Firstname,Lastname,City,TeamName
"Oct 30, 2017",Missed 1 game (undisclosed).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Oct 28, 2017","Undisclosed, day-to-day.",MATT,MARTIN,TORONTO,MAPLELEAFS
"Jul 01, 2016",Signed as an unrestricted free agent by the Toronto Maple Leafs to a four-year contract.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Apr 10, 2016",Missed 2 games (upper body injury).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Apr 07, 2016","Upper body injury, day-to-day.",MATT,MARTIN,TORONTO,MAPLELEAFS
"Apr 15, 2015",Missed the last 3 regular season games (undisclosed).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Apr 07, 2015","Undisclosed, day-to-day.",MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 05, 2015",Missed 1 game (suspended by nhl).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 04, 2015",Suspended by the NHL for 1 game.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 04, 2014",Missed 3 games (lower body injury).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 27, 2014","Lower body injury, day-to-day.",MATT,MARTIN,TORONTO,MAPLELEAFS
"Sep 15, 2012",Re-signed as a restricted free agent by the New York Islanders to a four-year contract.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Jun 25, 2012",NY Islanders tendered a qualifying offer.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 13, 2012",Missed 2 games (illness).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 10, 2012","Illness, day-to-day.",MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 21, 2011",Missed 4 games (suspension).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 12, 2011",Suspended by the NHL for four games.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Dec 20, 2010",Suspended by the NHL for two games.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Oct 25, 2010",Recalled from Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Oct 06, 2010",Assigned to Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 16, 2010",Assigned to Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 14, 2010",Recalled from Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Mar 02, 2010",Assigned to Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 12, 2010",Recalled from Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 11, 2010",Assigned to Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Feb 08, 2010",Recalled from Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Sep 24, 2009",Assigned to Bridgeport (AHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
"Sep 04, 2009",Signed by the New York Islanders to a three-year entry-level contract.,MATT,MARTIN,TORONTO,MAPLELEAFS
"Sep 30, 2008",Returned to his junior team (Sarnia-OHL).,MATT,MARTIN,TORONTO,MAPLELEAFS
