Date,Injury,Firstname,Lastname,City,TeamName
"Feb 25, 2018",Acquired from the Montreal Canadiens.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 12, 2017",Missed the last regular season game (undisclosed).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 08, 2017","Undisclosed, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 14, 2017",Missed 3 games (upper body injury).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 07, 2017","Upper body injury, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Oct 16, 2015",Signed by the Montreal Canadiens to a two-year contract extension.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 01, 2014",Missed 1 game (personal reasons).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 28, 2014","Personal reasons, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 06, 2013",Missed 1 game (groin).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 04, 2013","Groin, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Sep 16, 2012",Signed with HC Kladno (Czech Republic).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Feb 24, 2012",Missed 1 game (flu).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Feb 21, 2012","Flu, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 24, 2011",Missed 4 games (lower body injury).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 17, 2011","Lower body injury, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Nov 06, 2010",Missed 1 game (flu).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Nov 05, 2010","Flu, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jun 22, 2010",Re-signed by the Montreal Canadiens to a six-year contract.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jul 21, 2009",Re-signed as a restricted free agent by the Montreal Canadiens to a one-year contract.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jun 29, 2009",Montreal Canadiens tendered a qualifying offer.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Feb 12, 2009",Suspended by the NHL for two games.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 11, 2008",Missed 1 game (virus).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 09, 2008","Virus, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jul 05, 2007",Re-signed as a restricted free agent by the Montreal Canadiens to a two-year contract.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jun 26, 2007",Montreal Canadiens extended qualifying offer.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jan 09, 2007",Missed 1 game (gastrointestinal virus).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jan 07, 2007","Gastrointestinal virus, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 09, 2006",Missed 1 game (shoulder injury).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Mar 07, 2006","Shoulder injury, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jan 23, 2006",Recalled from Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jan 20, 2006",Missed 13 games (knee injury).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Dec 18, 2005","Knee injury, day-to-day.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Dec 17, 2005","Knee injury, left Saturday's game.",TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Aug 16, 2005",Re-signed as a restricted free agent by the Montreal Canadiens to a one-year contract.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Sep 20, 2004",Assigned to Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Jan 15, 2004",Assigned to Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Dec 31, 2003",Recalled from Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Oct 07, 2003",Assigned to Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Sep 28, 2002",Assigned to Hamilton (AHL).,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
"Apr 22, 2002",Signed by the Montreal Canadiens to a three-year contract.,TOMAS,PLEKANEC,TORONTO,MAPLELEAFS
