Date,Injury,Firstname,Lastname,City,TeamName
"Feb 05, 2018",Missed 3 games (viral infection).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jan 31, 2018","Viral infection, injured reserve.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Oct 22, 2017",Re-signed as an unrestricted free agent by the Toronto Maple Leafs to a one-year contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Oct 03, 2017",Released by the Toronto Maple Leafs from professional try-out contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Sep 14, 2017",Signed by the Toronto Maple Leafs to a professional try-out contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 23, 2017",Missed the last 4 playoff games (right leg injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 16, 2017","Right leg injury, remainder of the playoffs.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 26, 2017",Missed 2 games (suspended by nhl).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 23, 2017",Suspended by the NHL for 2 games.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 23, 2017","Fined $25,000 by the NHL.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jul 02, 2016",Signed as an unrestricted free agent by the Toronto Maple Leafs to a one-year contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Feb 22, 2016",Acquired from the Toronto Maple Leafs.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 11, 2015",Missed the last 16 regular season games (hernia surgery).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 09, 2015","Hernia surgery, remainder of the regular season.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Dec 18, 2014",Missed 10 games (lower body injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Dec 06, 2014","Lower body injury, injured reserve.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Nov 26, 2014","Lower body injury, sidelined indefinitely.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jan 14, 2014",Missed 10 games (broken right ankle).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Dec 21, 2013","Lower body injury, injured reserve.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Sep 20, 2012",Signed with HC Vitkovice Steel (Czech Republic).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 31, 2012",Missed 5 games (left knee injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 21, 2012","Left knee injury, day-to-day.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jun 02, 2011",Re-signed by the St. Louis Blues to a five-year contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 10, 2011",Missed 2 games (lower body injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 07, 2011","Lower body injury, day-to-day.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Dec 19, 2010",Missed 24 games (wrist injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Oct 25, 2010","Wrist injury, injured reserve.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 11, 2010",Missed the last 2 regular season games (shoulder injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 09, 2010","Shoulder injury, remainder of the regular season.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 25, 2010",Missed 2 games (undisclosed).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 21, 2010","Undisclosed, day-to-day.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jul 25, 2009",Re-signed as a restricted free agent by the St. Louis Blues to a two-year contract.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jun 30, 2009",St. Louis Blues tendered a qualifying offer.,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Feb 19, 2009",Missed 13 games (foot injury).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jan 19, 2009","Foot injury, mid-February.",ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 11, 2008",Recalled from Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 01, 2008",Assigned to Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Feb 29, 2008",Recalled from Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Sep 27, 2007",Assigned to Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Apr 09, 2007",Assigned to Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Mar 11, 2007",Recalled from Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Nov 05, 2006",Assigned to Peoria (AHL).,ROMAN,POLAK,TORONTO,MAPLELEAFS
"Jun 01, 2006",Signed by the St. Louis Blues.,ROMAN,POLAK,TORONTO,MAPLELEAFS
