Date,Injury,Firstname,Lastname,City,TeamName
"Feb 03, 2018",Missed 6 games (upper body injury).,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Jan 22, 2018","Upper body injury, injured reserve.",MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Jan 20, 2018","Upper body injury, day-to-day.",MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Feb 02, 2017",Missed 6 games (right knee injury).,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Jan 19, 2017","Right knee injury, day-to-day.",MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Apr 13, 2016",Signed by the Toronto Maple Leafs to a six-year contract extension.,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Jan 18, 2013",Returned to his junior team (Moose Jaw-WHL).,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Jan 13, 2013",Recalled from Moose Jaw (WHL).,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Sep 15, 2012",Returned to his junior team (Moose Jaw-WHL).,MORGAN,RIELLY,TORONTO,MAPLELEAFS
"Aug 03, 2012",Signed by the Toronto Maple Leafs to a three-year entry-level contract.,MORGAN,RIELLY,TORONTO,MAPLELEAFS
