Date,Injury,Firstname,Lastname,City,TeamName
"Feb 25, 2018",Acquired from the Nashville Predators.,PONTUS,ABERG,EDMONTON,OILERS
"Nov 20, 2017",Recalled from his conditioning assignment with the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Nov 11, 2017",Assigned to the Milwaukee Admirals (AHL) for conditioning purposes.,PONTUS,ABERG,EDMONTON,OILERS
"Jul 18, 2017",Re-signed as a restricted free agent by the Nashville Predators to a two-year contract.,PONTUS,ABERG,EDMONTON,OILERS
"Jun 26, 2017",Nashville Predators tendered a qualifying offer.,PONTUS,ABERG,EDMONTON,OILERS
"May 12, 2017",Missed the last 5 playoff games (undisclosed).,PONTUS,ABERG,EDMONTON,OILERS
"Apr 28, 2017","Undisclosed, day-to-day.",PONTUS,ABERG,EDMONTON,OILERS
"Apr 10, 2017",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Feb 13, 2017",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Feb 07, 2017",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Jan 13, 2017",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Jan 10, 2017",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Dec 05, 2016",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Nov 08, 2016",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Oct 09, 2016",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Oct 08, 2016",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Oct 04, 2016",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Apr 29, 2016",Recalled from the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Sep 26, 2015",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"Sep 28, 2014",Assigned to the Milwaukee Admirals (AHL).,PONTUS,ABERG,EDMONTON,OILERS
"May 07, 2014",Signed by the Nashville Predators to a three-year entry-level contract.,PONTUS,ABERG,EDMONTON,OILERS
