Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Missed 1 game (illness).,DRAKE,CAGGIULA,EDMONTON,OILERS
"Feb 22, 2018","Illness, day-to-day.",DRAKE,CAGGIULA,EDMONTON,OILERS
"Feb 12, 2018",Missed 1 game (mouth).,DRAKE,CAGGIULA,EDMONTON,OILERS
"Feb 10, 2018","Mouth, day-to-day.",DRAKE,CAGGIULA,EDMONTON,OILERS
"Nov 14, 2017",Missed 3 games (foot injury).,DRAKE,CAGGIULA,EDMONTON,OILERS
"Nov 09, 2017","Foot injury, day-to-day.",DRAKE,CAGGIULA,EDMONTON,OILERS
"Oct 24, 2017",Missed 5 games (undisclosed).,DRAKE,CAGGIULA,EDMONTON,OILERS
"Oct 15, 2017","Undisclosed, injured reserve.",DRAKE,CAGGIULA,EDMONTON,OILERS
"Oct 09, 2017","Undisclosed, day-to-day.",DRAKE,CAGGIULA,EDMONTON,OILERS
"Nov 19, 2016",Missed 14 games (hip injury).,DRAKE,CAGGIULA,EDMONTON,OILERS
"Oct 11, 2016","Hip injury, injured/non-roster list.",DRAKE,CAGGIULA,EDMONTON,OILERS
"May 07, 2016",Signed as an undrafted free agent by the Edmonton Oilers to a two-year entry-level contract.,DRAKE,CAGGIULA,EDMONTON,OILERS
