Date,Injury,Firstname,Lastname,City,TeamName
"Nov 14, 2017",Acquired from the Los Angeles Kings.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jul 01, 2017",Signed as an unrestricted free agent by the Los Angeles Kings to a one-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jun 30, 2017",Placed on waivers by the New Jersey Devils for the purpose of buying him out.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 31, 2017",Missed 13 games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 03, 2017","Upper body injury, sidelined indefinitely.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 23, 2016",Missed 6 games (personal reasons).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 11, 2016","Personal reasons, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Apr 09, 2016",Missed the last 32 regular season games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 01, 2016","Upper body injury, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 19, 2016",Missed 8 games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 07, 2016","Upper body injury, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 02, 2016","Undisclosed, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 23, 2015",Missed 2 games (illness).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 20, 2015","Illness, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 23, 2014",Missed 4 games (lower body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 20, 2014","Lower body injury, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 15, 2014","Lower body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 11, 2014",Missed 2 games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 08, 2014","Upper body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 10, 2014",Missed 6 games (jaw injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 28, 2014","Jaw injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jul 01, 2014",Signed as an unrestricted free agent by the New Jersey Devils to a five-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Apr 13, 2014",Missed the last 2 regular season games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Apr 11, 2014","Upper body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 01, 2014",Missed 9 games (concussion).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 20, 2014","Concussion, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 13, 2014","Concussion, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 19, 2013",Missed 1 game (flu).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 17, 2013","Flu, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 21, 2013",Missed 7 games (hand injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Sep 30, 2013","Hand injury, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 13, 2013",Missed 3 games (hip flexor).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 11, 2013","Hip flexor, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 07, 2013","Hip flexor, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 24, 2012",Missed 9 games (upper body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 06, 2012","Upper body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 12, 2012",Acquired from the Montreal Canadiens.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 16, 2011",Missed 1 game (lower body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 14, 2011","Lower body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 12, 2011",Missed 1 game (lower body injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 10, 2011","Lower body injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 20, 2011",Missed 3 games (left leg injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 09, 2011","Left leg injury, sidelined indefinitely.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 20, 2011",Missed 12 games (separated left shoulder).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 20, 2011","Separated left shoulder, injured reserve.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 15, 2011",Missed 2 games (illness).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 11, 2011","Illness, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 04, 2010",Suspended by the NHL for 1 game.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 24, 2010",Missed 17 games (right MCL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 01, 2010","Right MCL, late March.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jul 01, 2009",Signed as an unrestricted free agent by the Montreal Canadiens to a five-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 13, 2008",Missed 1 game (flu).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 11, 2008","Flu, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jun 20, 2008",Acquired from the Los Angeles Kings.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 16, 2008",Missed 1 game (flu).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 16, 2008","Flu, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 15, 2008","Undisclosed, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 05, 2008",Missed 17 games (rib injury).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 26, 2007","Rib injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Dec 01, 2007",Missed 1 game (groin).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 28, 2007","Groin, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Aug 07, 2007",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jun 26, 2007",Los Angeles Kings extended qualifying offer.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 08, 2007",Missed 1 game (muscle strain).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 06, 2007","Muscle strain, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jul 26, 2006",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Aug 10, 2005",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Sep 15, 2004",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Mar 09, 2004",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 20, 2004",Recalled from Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 03, 2004",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 17, 2003",Recalled from Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 07, 2003",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Oct 30, 2003",Missed 8 games (sprained left knee).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Apr 06, 2003",Missed the last 31 games of the regular season (post concussion).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 17, 2003","Post concussion, sidelined indefinitely.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Feb 03, 2003","Post concussion, mid-February.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 30, 2003","Head injury, day-to-day.",MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 27, 2003",Recalled from Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 22, 2003",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 17, 2003",Recalled from Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jan 09, 2003",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Nov 07, 2002",Recalled from Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Sep 30, 2002",Assigned to Manchester (AHL).,MICHAEL,CAMMALLERI,EDMONTON,OILERS
"Jul 25, 2002",Signed by the Los Angeles Kings to a multi-year contract.,MICHAEL,CAMMALLERI,EDMONTON,OILERS
