Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018",Missed 1 game (leg injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 27, 2018","Leg injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Jun 26, 2017",Signed by the Edmonton Oilers to a three-year contract extension.,ZACK,KASSIAN,EDMONTON,OILERS
"Nov 12, 2016",Missed 3 games (lower body injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Nov 06, 2016","Lower body injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"May 19, 2016",Signed by the Edmonton Oilers to a one-year contract extension.,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 20, 2016",Missed 2 games (illness).,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 16, 2016","Illness, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Feb 01, 2016",Recalled from the Bakersfield Condors (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Jan 24, 2016",Assigned to the Bakersfield Condors (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Jan 13, 2016",Recalled from the Bakersfield Condors (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Dec 28, 2015",Acquired from the Montreal Canadiens.,ZACK,KASSIAN,EDMONTON,OILERS
"Dec 16, 2015",Assigned to the St. John's IceCaps (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Dec 16, 2015",Missed 32 games (suspended by nhl).,ZACK,KASSIAN,EDMONTON,OILERS
"Dec 15, 2015",Placed on waivers by the Montreal Canadiens.,ZACK,KASSIAN,EDMONTON,OILERS
"Oct 05, 2015",Suspended by the NHL indefinitely.,ZACK,KASSIAN,EDMONTON,OILERS
"Jul 01, 2015",Acquired from the Vancouver Canucks.,ZACK,KASSIAN,EDMONTON,OILERS
"Apr 25, 2015",Missed the last 14 regular season and all 6 playoff games (back injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 17, 2015","Back injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Mar 05, 2015",Missed 1 game (flu).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 03, 2015","Flu, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Feb 07, 2015",Missed 1 game (undisclosed).,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 05, 2015","Undisclosed, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Jan 01, 2015",Missed 13 games (finger injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Nov 28, 2014","Finger injury, injured reserve.",ZACK,KASSIAN,EDMONTON,OILERS
"Nov 27, 2014","Finger injury, sidelined indefinitely.",ZACK,KASSIAN,EDMONTON,OILERS
"Nov 19, 2014",Missed 5 games (lower body injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Nov 09, 2014","Lower body injury, injured reserve.",ZACK,KASSIAN,EDMONTON,OILERS
"Nov 06, 2014","Lower body injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Jul 04, 2014",Re-signed as a restricted free agent by the Vancouver Canucks to a two-year contract.,ZACK,KASSIAN,EDMONTON,OILERS
"Jun 30, 2014",Vancouver Canucks tendered a qualifying offer.,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 13, 2014",Missed 3 games (suspended by nhl).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 07, 2014",Suspended by the NHL for 3 games.,ZACK,KASSIAN,EDMONTON,OILERS
"Oct 10, 2013",Missed 5 games (suspended by nhl).,ZACK,KASSIAN,EDMONTON,OILERS
"Sep 23, 2013",Suspended by the NHL for 5 games.,ZACK,KASSIAN,EDMONTON,OILERS
"Apr 03, 2013",Recalled from Chicago (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 31, 2013",Assigned to Chicago (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 30, 2013",Missed 5 games (back injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 21, 2013","Back injury, injured reserve.",ZACK,KASSIAN,EDMONTON,OILERS
"Mar 19, 2013",Missed 2 games (back injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Mar 16, 2013","Back injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Jan 13, 2013",Recalled from Chicago (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Sep 14, 2012",Assigned to Chicago (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Apr 11, 2012",Missed the last 2 regular season games (upper body injury).,ZACK,KASSIAN,EDMONTON,OILERS
"Apr 05, 2012","Upper body injury, day-to-day.",ZACK,KASSIAN,EDMONTON,OILERS
"Feb 27, 2012",Acquired from the Buffalo Sabres.,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 11, 2012",Recalled from Rochester (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
"Feb 05, 2012",Assigned to Rochester (AHL).,ZACK,KASSIAN,EDMONTON,OILERS
