Date,Injury,Firstname,Lastname,City,TeamName
"Dec 29, 2017",Missed 3 games (shoulder injury).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Dec 19, 2017","Upper body injury, injured reserve.",OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 26, 2017",Missed 1 game (flu).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 24, 2017","Flu, day-to-day.",OSCAR,KLEFBOM,EDMONTON,OILERS
"May 09, 2017",Missed 1 game (undisclosed).,OSCAR,KLEFBOM,EDMONTON,OILERS
"May 07, 2017","Undisclosed, day-to-day.",OSCAR,KLEFBOM,EDMONTON,OILERS
"Apr 09, 2016",Missed the last 52 regular season games (leg injury).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Dec 17, 2015","Broken finger, injured reserve.",OSCAR,KLEFBOM,EDMONTON,OILERS
"Dec 12, 2015","Broken finger, day-to-day.",OSCAR,KLEFBOM,EDMONTON,OILERS
"Sep 19, 2015",Signed by the Edmonton Oilers to a seven-year contract extension.,OSCAR,KLEFBOM,EDMONTON,OILERS
"Dec 18, 2014",Missed 2 games (foot injury).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Dec 14, 2014","Foot injury, day-to-day.",OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 26, 2014",Recalled from the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 16, 2014",Assigned to the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 02, 2014",Recalled from the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Oct 13, 2014",Assigned to the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Apr 13, 2014",Assigned to the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Mar 08, 2014",Recalled from the Oklahoma City Barons (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 16, 2013",Assigned to Oklahoma City (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Nov 15, 2013",Recalled from Oklahoma City (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Sep 22, 2013",Assigned to Oklahoma City (AHL).,OSCAR,KLEFBOM,EDMONTON,OILERS
"Jun 12, 2012",Signed by the Edmonton Oilers to a three-year entry-level contract.,OSCAR,KLEFBOM,EDMONTON,OILERS
