Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2016",Signed as an unrestricted free agent by the Edmonton Oilers to a seven-year contract.,MILAN,LUCIC,EDMONTON,OILERS
"Jan 25, 2016",Missed 1 game (suspended by nhl).,MILAN,LUCIC,EDMONTON,OILERS
"Jan 24, 2016",Suspended by the NHL for 1 game.,MILAN,LUCIC,EDMONTON,OILERS
"Jan 24, 2016","Fined $32,258 by the NHL.",MILAN,LUCIC,EDMONTON,OILERS
"Jun 26, 2015",Acquired from the Boston Bruins.,MILAN,LUCIC,EDMONTON,OILERS
"Dec 31, 2014",Missed 1 game (undisclosed).,MILAN,LUCIC,EDMONTON,OILERS
"Dec 29, 2014","Undisclosed, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Oct 17, 2014","Fined $5,000 by the NHL.",MILAN,LUCIC,EDMONTON,OILERS
"Jan 09, 2014",Missed 1 game (illness).,MILAN,LUCIC,EDMONTON,OILERS
"Jan 07, 2014","Illness, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Feb 21, 2013",Missed 1 game (personal reasons).,MILAN,LUCIC,EDMONTON,OILERS
"Feb 17, 2013","Personal reasons, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Sep 15, 2012",Signed by the Boston Bruins to a three-year contract extension.,MILAN,LUCIC,EDMONTON,OILERS
"Dec 23, 2011",Missed 1 game (suspended by nhl).,MILAN,LUCIC,EDMONTON,OILERS
"Dec 19, 2011",Suspended by the NHL for 1 game.,MILAN,LUCIC,EDMONTON,OILERS
"Jan 17, 2011",Missed 3 games (undisclosed).,MILAN,LUCIC,EDMONTON,OILERS
"Jan 11, 2011","Undisclosed, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Dec 26, 2010","Fined $3,500 by the NHL.",MILAN,LUCIC,EDMONTON,OILERS
"Jan 07, 2010",Missed 18 games (ankle injury).,MILAN,LUCIC,EDMONTON,OILERS
"Nov 27, 2009","Ankle injury, sidelined indefinitely.",MILAN,LUCIC,EDMONTON,OILERS
"Nov 19, 2009",Missed 14 games (broken finger).,MILAN,LUCIC,EDMONTON,OILERS
"Oct 17, 2009","Broken finger, sidelined indefinitely.",MILAN,LUCIC,EDMONTON,OILERS
"Oct 06, 2009",Signed by the Boston Bruins to a three-year contract extension.,MILAN,LUCIC,EDMONTON,OILERS
"Apr 20, 2009",Suspended by the NHL for one game.,MILAN,LUCIC,EDMONTON,OILERS
"Mar 05, 2009",Missed 2 games (upper body injury).,MILAN,LUCIC,EDMONTON,OILERS
"Feb 28, 2009","Upper body injury, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Feb 07, 2009",Missed 1 game (foot injury).,MILAN,LUCIC,EDMONTON,OILERS
"Feb 05, 2009","Foot injury, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Jan 27, 2009",Missed 7 games (undisclosed).,MILAN,LUCIC,EDMONTON,OILERS
"Jan 08, 2009","Undisclosed, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Dec 03, 2007",Missed 3 games (head injury).,MILAN,LUCIC,EDMONTON,OILERS
"Nov 24, 2007","Head injury, day-to-day.",MILAN,LUCIC,EDMONTON,OILERS
"Aug 02, 2007",Signed by the Boston Bruins to a three-year entry-level contract.,MILAN,LUCIC,EDMONTON,OILERS
"Sep 13, 2006",Returned to his junior team (Vancouver-WHL).,MILAN,LUCIC,EDMONTON,OILERS
