Date,Injury,Firstname,Lastname,City,TeamName
"Jan 18, 2018",Recalled from the Bakersfield Condors (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Dec 02, 2017",Assigned to the Bakersfield Condors (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Dec 01, 2017",Placed on waivers by the Edmonton Oilers.,IIRO,PAKARINEN,EDMONTON,OILERS
"May 20, 2017",Signed by the Edmonton Oilers to a one-year contract extension.,IIRO,PAKARINEN,EDMONTON,OILERS
"Feb 14, 2017",Missed 56 games (leg injury).,IIRO,PAKARINEN,EDMONTON,OILERS
"Feb 12, 2017",Recalled from his conditioning assignment with the Bakersfield Condors (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Feb 03, 2017",Assigned to the Bakersfield Condors (AHL) for conditioning purposes.,IIRO,PAKARINEN,EDMONTON,OILERS
"Oct 11, 2016","Leg injury, injured reserve.",IIRO,PAKARINEN,EDMONTON,OILERS
"Jun 27, 2016",Re-signed by the Edmonton Oilers to a one-year contract.,IIRO,PAKARINEN,EDMONTON,OILERS
"Jan 08, 2016",Missed 3 games (concussion).,IIRO,PAKARINEN,EDMONTON,OILERS
"Dec 31, 2015","Upper body injury, day-to-day.",IIRO,PAKARINEN,EDMONTON,OILERS
"Oct 22, 2015",Recalled from the Bakersfield Condors (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Sep 30, 2015",Assigned to the Bakersfield Condors (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Apr 11, 2015",Missed the last 19 regular season games (sprained right knee).,IIRO,PAKARINEN,EDMONTON,OILERS
"Mar 03, 2015","Sprained right knee, sidelined indefinitely.",IIRO,PAKARINEN,EDMONTON,OILERS
"Feb 03, 2015",Recalled from the Oklahoma City Barons (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Nov 16, 2014",Assigned to the Oklahoma City Barons (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Nov 06, 2014",Recalled from the Oklahoma City Barons (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Sep 29, 2014",Assigned to the Oklahoma City Barons (AHL).,IIRO,PAKARINEN,EDMONTON,OILERS
"Jun 15, 2014",Signed as a free agent by the Edmonton Oilers to a two-year entry-level contract.,IIRO,PAKARINEN,EDMONTON,OILERS
"Jun 01, 2013",Unsigned 2011 draft pick.,IIRO,PAKARINEN,EDMONTON,OILERS
