Date,Injury,Firstname,Lastname
"Feb 26, 2018",Assigned to the Bakersfield Condors (AHL).,TY,RATTIE
"Feb 26, 2018",Recalled from the Bakersfield Condors (AHL).,TY,RATTIE
"Feb 24, 2018",Recalled from the Bakersfield Condors (AHL).,TY,RATTIE
"Sep 26, 2017",Placed on waivers by the Edmonton Oilers for the purpose of being assigned to the Bakersfield Condors (AHL).,TY,RATTIE
"Jul 01, 2017",Signed as an unrestricted free agent by the Edmonton Oilers to a one-year contract.,TY,RATTIE
"Jun 26, 2017",St. Louis Blues did not tender a qualifying offer.,TY,RATTIE
"Feb 19, 2017",Claimed off waivers from the Carolina Hurricanes.,TY,RATTIE
"Feb 19, 2017",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Feb 18, 2017",Placed on waivers by the Carolina Hurricanes.,TY,RATTIE
"Jan 04, 2017",Claimed off waivers from the St. Louis Blues.,TY,RATTIE
"Jan 03, 2017",Placed on waivers by the St. Louis Blues.,TY,RATTIE
"Nov 14, 2016",Recalled from his conditioning assignment with the Chicago Wolves (AHL).,TY,RATTIE
"Nov 07, 2016",Assigned to the Chicago Wolves (AHL) for conditioning purposes.,TY,RATTIE
"Jul 13, 2016",Re-signed as a restricted free agent by the St. Louis Blues to a one-year contract.,TY,RATTIE
"Jun 27, 2016",St. Louis Blues tendered a qualifying offer.,TY,RATTIE
"Apr 18, 2016",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Feb 29, 2016",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Feb 23, 2016",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Feb 03, 2016",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Jan 31, 2016",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Jan 25, 2016",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Jan 11, 2016",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Nov 06, 2015",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Oct 23, 2015",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Oct 05, 2015",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Apr 27, 2015",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Apr 01, 2015",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Feb 09, 2015",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Jan 30, 2015",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Sep 28, 2014",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Apr 13, 2014",Assigned to the Chicago Wolves (AHL).,TY,RATTIE
"Apr 11, 2014",Recalled from the Chicago Wolves (AHL).,TY,RATTIE
"Sep 26, 2013",Assigned to Chicago (AHL).,TY,RATTIE
"Sep 14, 2012",Returned to his junior team (Portland-WHL).,TY,RATTIE
"Jun 01, 2012",Signed by the St. Louis Blues to a three-year entry-level contract.,TY,RATTIE
"Sep 24, 2011",Returned to his junior team (Portland-WHL).,TY,RATTIE
