Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018",Missed 2 games (hand injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 25, 2018","Hand injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Jun 23, 2017",Signed by the Edmonton Oilers to a four-year contract extension.,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 10, 2017",Missed 2 games (upper body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 04, 2017","Upper body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Feb 21, 2017",Missed 5 games (undisclosed).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 05, 2017","Undisclosed, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 19, 2016",Missed 7 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Nov 06, 2016","Lower body injury, injured reserve.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 05, 2016","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Oct 07, 2016",Signed as an unrestricted free agent by the Edmonton Oilers to a one-year contract.,KRIS,RUSSELL,EDMONTON,OILERS
"Apr 20, 2016",Missed the last playoff game (illness).,KRIS,RUSSELL,EDMONTON,OILERS
"Apr 18, 2016","Illness, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Apr 07, 2016",Missed 7 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 22, 2016","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Mar 01, 2016",Missed 8 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 29, 2016",Acquired from the Calgary Flames.,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 15, 2016","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Dec 12, 2015",Missed 3 games (upper body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Dec 04, 2015","Upper body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 22, 2014",Missed 2 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Nov 18, 2014","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Feb 08, 2014",Signed by the Calgary Flames to a two-year contract extension.,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 04, 2014",Missed 1 game (upper body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 01, 2014","Upper body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Jan 20, 2014",Missed 13 games (sprained mcl).,KRIS,RUSSELL,EDMONTON,OILERS
"Dec 29, 2013","Sprained MCL, injured reserve.",KRIS,RUSSELL,EDMONTON,OILERS
"Dec 23, 2013","Sprained MCL, sidelined indefinitely.",KRIS,RUSSELL,EDMONTON,OILERS
"Jul 05, 2013",Re-signed as a restricted free agent by the Calgary Flames to a one-year contract.,KRIS,RUSSELL,EDMONTON,OILERS
"Jul 05, 2013",Acquired from the St. Louis Blues.,KRIS,RUSSELL,EDMONTON,OILERS
"Jul 02, 2013",Placed on waivers by the St. Louis Blues.,KRIS,RUSSELL,EDMONTON,OILERS
"Jul 02, 2013",St. Louis Blues tendered a qualifying offer.,KRIS,RUSSELL,EDMONTON,OILERS
"Sep 26, 2012",Signed with TPS Turku (Finland).,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 25, 2012",Missed 14 games (concussion).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 25, 2012","Concussion, sidelined indefinitely.",KRIS,RUSSELL,EDMONTON,OILERS
"Feb 12, 2012",Missed 1 game (flu).,KRIS,RUSSELL,EDMONTON,OILERS
"Feb 11, 2012","Flu, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Jan 19, 2012",Missed 9 games (groin).,KRIS,RUSSELL,EDMONTON,OILERS
"Dec 30, 2011","Groin, injured reserve.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 12, 2011",Missed 1 game (undisclosed).,KRIS,RUSSELL,EDMONTON,OILERS
"Nov 10, 2011","Undisclosed, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 10, 2011",Acquired from the Columbus Blue Jackets.,KRIS,RUSSELL,EDMONTON,OILERS
"Apr 10, 2011",Missed the last 2 regular season games (fractured left tibia).,KRIS,RUSSELL,EDMONTON,OILERS
"Apr 08, 2011","Fractured left tibia, remainder of the regular season.",KRIS,RUSSELL,EDMONTON,OILERS
"Oct 28, 2010",Missed 4 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Oct 20, 2010","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Oct 09, 2010",Missed 1 game (knee injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Sep 23, 2010","Knee injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Apr 07, 2010",Missed 2 games (left arm injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Apr 02, 2010","Left arm injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Jan 14, 2010",Missed 2 games (lower body injury).,KRIS,RUSSELL,EDMONTON,OILERS
"Jan 10, 2010","Lower body injury, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Nov 13, 2009",Missed 2 games (illness).,KRIS,RUSSELL,EDMONTON,OILERS
"Nov 07, 2009","Illness, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Oct 17, 2009",Signed by the Columbus Blue Jackets to a three-year contract extension.,KRIS,RUSSELL,EDMONTON,OILERS
"Nov 27, 2008",Recalled from Syracuse (AHL).,KRIS,RUSSELL,EDMONTON,OILERS
"Oct 26, 2008",Assigned to Syracuse (AHL).,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 30, 2008",Missed 5 games (groin).,KRIS,RUSSELL,EDMONTON,OILERS
"Mar 19, 2008","Groin, day-to-day.",KRIS,RUSSELL,EDMONTON,OILERS
"Sep 29, 2006",Returned to his junior team (Medicine Hat-WHL).,KRIS,RUSSELL,EDMONTON,OILERS
"Jul 01, 2006",Signed by the Columbus Blue Jackets.,KRIS,RUSSELL,EDMONTON,OILERS
"Sep 18, 2005",Returned to his junior team (Medicine Hat-WHL).,KRIS,RUSSELL,EDMONTON,OILERS
