Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Missed 7 games (facial injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"Feb 14, 2018","Facial injury, injured reserve.",ANDREJ,SEKERA,EDMONTON,OILERS
"Feb 10, 2018","Facial injury, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Dec 21, 2017",Missed 34 games (knee injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"Oct 03, 2017","Knee injury, injured reserve.",ANDREJ,SEKERA,EDMONTON,OILERS
"May 10, 2017",Missed the last 2 playoff games (lower body injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"May 07, 2017","Lower body injury, sidelined indefinitely.",ANDREJ,SEKERA,EDMONTON,OILERS
"Jan 03, 2017",Missed 2 games (illness).,ANDREJ,SEKERA,EDMONTON,OILERS
"Dec 29, 2016","Illness, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Nov 23, 2015",Missed 1 game (flu).,ANDREJ,SEKERA,EDMONTON,OILERS
"Nov 20, 2015","Flu, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Jul 01, 2015",Signed as an unrestricted free agent by the Edmonton Oilers to a six-year contract.,ANDREJ,SEKERA,EDMONTON,OILERS
"Apr 11, 2015",Missed the last 6 regular season games (lower body injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"Apr 02, 2015","Lower body injury, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Feb 25, 2015",Acquired from the Carolina Hurricanes.,ANDREJ,SEKERA,EDMONTON,OILERS
"Dec 07, 2014",Missed 1 game (undisclosed).,ANDREJ,SEKERA,EDMONTON,OILERS
"Dec 04, 2014","Undisclosed, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Oct 21, 2014",Missed 1 game (upper body injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"Oct 16, 2014","Upper body injury, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
"Apr 13, 2014",Missed the last 6 regular season games (lower body injury).,ANDREJ,SEKERA,EDMONTON,OILERS
"Apr 03, 2014","Lower body injury, day-to-day.",ANDREJ,SEKERA,EDMONTON,OILERS
