Date,Injury,Firstname,Lastname,City,TeamName
"Dec 19, 2017",Recalled from the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Dec 18, 2017",Assigned to the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 26, 2017",Missed 8 games (groin).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 10, 2017","Groin, injured reserve.",ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 09, 2017",Missed 2 games (lower body injury).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 05, 2017","Undisclosed, day-to-day.",ANTON,SLEPYSHEV,EDMONTON,OILERS
"Oct 07, 2017",Recalled from the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Oct 03, 2017",Assigned to the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Jan 09, 2017",Recalled from the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Dec 15, 2016",Assigned to the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 13, 2015",Assigned to the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 12, 2015",Recalled from the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"Nov 04, 2015",Assigned to the Bakersfield Condors (AHL).,ANTON,SLEPYSHEV,EDMONTON,OILERS
"May 27, 2015",Signed by the Edmonton Oilers to a three-year entry-level contract.,ANTON,SLEPYSHEV,EDMONTON,OILERS
