Date,Injury,Firstname,Lastname,City,TeamName
"Jun 22, 2017",Acquired from the New York Islanders.,RYAN,STROME,EDMONTON,OILERS
"Apr 09, 2017",Missed the last 10 regular season games (broken wrist).,RYAN,STROME,EDMONTON,OILERS
"Mar 23, 2017","Broken wrist, remainder of the regular season.",RYAN,STROME,EDMONTON,OILERS
"Dec 10, 2016",Missed 1 game (illness).,RYAN,STROME,EDMONTON,OILERS
"Dec 08, 2016","Illness, day-to-day.",RYAN,STROME,EDMONTON,OILERS
"Sep 20, 2016",Re-signed as a restricted free agent by the New York Islanders to a two-year contract.,RYAN,STROME,EDMONTON,OILERS
"Dec 15, 2015",Missed 1 game (upper body injury).,RYAN,STROME,EDMONTON,OILERS
"Dec 13, 2015","Undisclosed, day-to-day.",RYAN,STROME,EDMONTON,OILERS
"Nov 26, 2015",Recalled from the Bridgeport Sound Tigers (AHL).,RYAN,STROME,EDMONTON,OILERS
"Nov 06, 2015",Assigned to the Bridgeport Sound Tigers (AHL).,RYAN,STROME,EDMONTON,OILERS
"Oct 31, 2015",Missed 1 game (illness).,RYAN,STROME,EDMONTON,OILERS
"Oct 29, 2015","Illness, day-to-day.",RYAN,STROME,EDMONTON,OILERS
"Feb 24, 2014",Recalled from the Bridgeport Sound Tigers (AHL) on an emergency basis.,RYAN,STROME,EDMONTON,OILERS
"Jan 15, 2014",Assigned to the Bridgeport Sound Tigers (AHL).,RYAN,STROME,EDMONTON,OILERS
"Dec 11, 2013",Recalled from Bridgeport (AHL).,RYAN,STROME,EDMONTON,OILERS
"Sep 30, 2013",Assigned to Bridgeport (AHL).,RYAN,STROME,EDMONTON,OILERS
"Apr 28, 2013",Recalled from Bridgeport (AHL).,RYAN,STROME,EDMONTON,OILERS
"Apr 01, 2013",Re-assigned to Bridgeport (AHL).,RYAN,STROME,EDMONTON,OILERS
"Jan 17, 2013",Assigned to Niagara (OHL).,RYAN,STROME,EDMONTON,OILERS
"Jan 13, 2013",Recalled from Niagara (OHL).,RYAN,STROME,EDMONTON,OILERS
"Sep 14, 2012",Returned to his junior team (Niagara-OHL).,RYAN,STROME,EDMONTON,OILERS
"Oct 13, 2011",Assigned to Niagara (OHL).,RYAN,STROME,EDMONTON,OILERS
"Oct 04, 2011",Signed by the New York Islanders to a three-year entry-level contract.,RYAN,STROME,EDMONTON,OILERS
