Date,Injury,Firstname,Lastname,City,TeamName
"Jan 25, 2017",Missed 9 games (lower body injury).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Jan 07, 2017","Lower body injury, injured reserve.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Nov 21, 2016",Missed 19 games (broken wrist).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Oct 11, 2016","Broken hand, injured reserve.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Apr 24, 2016",Missed the last playoff game (head injury).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Jan 03, 2016",Missed 15 games (upper body injury).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Dec 27, 2015","Upper body injury, injured reserve.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Dec 26, 2015",Missed 12 games (upper body injury).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Dec 11, 2015","Upper body injury, injured reserve.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Dec 01, 2015","Upper body injury, day-to-day.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Apr 11, 2015",Missed the last 10 regular season games (lower body injury).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Mar 24, 2015","Lower body injury, day-to-day.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Dec 30, 2014",Signed by the Florida Panthers to a six-year contract extension.,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Oct 13, 2013",Missed 5 games (concussion).,NICK,BJUGSTAD,FLORIDA,PANTHERS
"Sep 30, 2013","Concussion, injured reserve.",NICK,BJUGSTAD,FLORIDA,PANTHERS
"Apr 03, 2013",Signed by the Florida Panthers to a three-year entry-level contract.,NICK,BJUGSTAD,FLORIDA,PANTHERS
