Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Florida Panthers to a two-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 29, 2017",Missed 1 game (suspended by nhl).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 27, 2017",Suspended by the NHL for 1 game.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 27, 2017","Fined $3,472 by the NHL.",MICHEAL,HALEY,FLORIDA,PANTHERS
"Jan 27, 2017",Missed 5 games (upper body injury).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jan 19, 2017","Upper body injury, injured reserve.",MICHEAL,HALEY,FLORIDA,PANTHERS
"Jul 01, 2016",Re-signed as an unrestricted free agent by the San Jose Sharks to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 24, 2016",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 14, 2016",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 12, 2016",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 10, 2016",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 03, 2016",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 05, 2015",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 04, 2015",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Nov 29, 2015",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Nov 05, 2015",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 23, 2015",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 21, 2015",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 05, 2015",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 02, 2015",Recalled from the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 28, 2015",Assigned to the San Jose Barracuda (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jul 02, 2015",Re-signed as an unrestricted free agent by the San Jose Sharks to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jan 04, 2015",Assigned to the Worcester Sharks (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 26, 2014",Recalled from the Worcester Sharks (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 27, 2014",Assigned to the Worcester Sharks (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jul 10, 2014",Signed as an unrestricted free agent by the San Jose Sharks to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 25, 2013",Assigned to Hartford (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Apr 28, 2013",Recalled from Connecticut (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 20, 2013",Assigned to Connecticut (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 05, 2013",Recalled from Connecticut (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 14, 2012",Assigned to Connecticut (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 13, 2012",Placed on waivers by the New York Rangers.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jul 01, 2012",Signed as an unrestricted free agent by the New York Rangers to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Apr 08, 2012",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 31, 2012",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 12, 2012",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 10, 2012",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jan 02, 2012",Missed 2 games (bruised hand).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jan 02, 2012",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 29, 2011","Bruised hand, day-to-day.",MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 21, 2011",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Dec 12, 2011",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Nov 22, 2011",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 02, 2011",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jul 15, 2011",Re-signed as a restricted free agent by the New York Islanders to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Jun 27, 2011",New York Islanders tendered a qualifying offer.,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 05, 2011",Missed 1 game (undisclosed).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Mar 02, 2011","Undisclosed, day-to-day.",MICHEAL,HALEY,FLORIDA,PANTHERS
"Feb 11, 2011",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Oct 03, 2010",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Apr 12, 2010",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Apr 10, 2010",Recalled from Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"Sep 24, 2009",Assigned to Bridgeport (AHL).,MICHEAL,HALEY,FLORIDA,PANTHERS
"May 28, 2009",Re-signed by the New York Islanders to a one-year contract.,MICHEAL,HALEY,FLORIDA,PANTHERS
