Date,Injury,Firstname,Lastname,City,TeamName
"Feb 03, 2017",Missed 51 games (achilles surgery).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Oct 13, 2016","Leg injury, injured reserve.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Oct 09, 2016","Leg injury, sidelined indefinitely.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Sep 06, 2016",Signed by the Florida Panthers to a six-year contract extension.,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Mar 07, 2016",Missed 6 games (upper body injury).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Feb 25, 2016","Upper body injury, injured reserve.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Sep 17, 2015",Re-signed as a restricted free agent by the Florida Panthers to a two-year contract.,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Nov 08, 2014",Missed 3 games (illness).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Nov 01, 2014","Illness, day-to-day.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Apr 08, 2014",Missed 11 games (concussion).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Mar 18, 2014","Concussion, day-to-day.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Dec 19, 2013",Missed 2 games (foot injury).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Dec 15, 2013","Foot injury, day-to-day.",JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Jan 12, 2013",Recalled from Saint John (QMJHL).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Sep 12, 2012",Returned to his junior team (Saint John-QMJHL).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Oct 10, 2011",Signed by the Florida Panthers to a three-year entry-level contract.,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
"Oct 03, 2011",Returned to his junior team (Saint John-QMJHL).,JONATHAN,HUBERDEAU,FLORIDA,PANTHERS
