Date,Injury,Firstname,Lastname,City,TeamName
"Feb 14, 2018",Missed 26 games (lower body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 12, 2017","Lower body injury, injured reserve.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 05, 2017","Lower body injury, sidelined indefinitely.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 04, 2017",Missed 6 games (hand injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Oct 21, 2017","Hand injury, injured reserve.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Apr 09, 2017",Missed the last 19 regular season games (lower body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 04, 2017","Lower body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 09, 2017",Missed 1 game (upper body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 07, 2017","Upper body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 23, 2016",Missed 1 game (undisclosed).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 22, 2016","Undisclosed, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 19, 2015",Missed 6 games (sprained right shoulder).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 05, 2015","Sprained right shoulder, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 01, 2014",Missed 1 game (upper body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 28, 2014","Upper body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Apr 04, 2014",Missed 3 games (sore neck).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 28, 2014","Upper body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 04, 2014",Acquired from the Vancouver Canucks.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 18, 2014",Missed 6 games (lower body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 05, 2014","Lower body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 02, 2014",Missed 3 games (groin).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 27, 2013","Groin, injured reserve.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 23, 2011",Missed 2 games (upper body injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 16, 2011","Upper body injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Feb 12, 2011",Missed 1 game (illness).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Feb 09, 2011","Illness, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 10, 2009",Missed 6 games (fractured ribs).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Oct 29, 2009","Fractured ribs, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Sep 02, 2009",Signed by the Vancouver Canucks to a 12-year contract extension.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 15, 2009",Missed 24 games (groin).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 24, 2008","Groin, sidelined indefinitely.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 31, 2008",Missed 1 game (personal reasons).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jan 29, 2008","Personal reasons, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 18, 2007",Missed 3 games (rib injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 12, 2007","Rib injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jun 29, 2006",Signed by the Vancouver Canucks to a four-year contract.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Jun 23, 2006",Acquired from the Florida Panthers.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Aug 25, 2005",Re-signed as a restricted free agent by the Florida Panthers to a one-year contract.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 29, 2003",Missed 1 game (knee injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 27, 2003","Knee injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 26, 2003","Knee injury, left Wednesday's game.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 13, 2002",Missed 3 games (back injury).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Nov 07, 2002","Back injury, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Apr 14, 2002",Missed the last 13 games of the regular season (sprained right ankle).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Mar 20, 2002","Sprained right ankle, remainder of the regular season.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Oct 24, 2001",Missed 4 games (lacerated right forearm).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Oct 10, 2001","Lacerated right forearm, day-to-day.",ROBERTO,LUONGO,FLORIDA,PANTHERS
"Sep 13, 2001",Re-signed by the Florida Panthers.,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 18, 2000",Recalled from Louisville (AHL).,ROBERTO,LUONGO,FLORIDA,PANTHERS
"Dec 14, 2000",Assigned to Louisville (AHL).,ROBERTO,LUONGO,FLORIDA,PANTHERS
