Date,Injury,Firstname,Lastname,City,TeamName
"Nov 25, 2017",Missed 5 games (undisclosed).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 18, 2017","Undisclosed, injured reserve.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 13, 2017","Undisclosed, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jul 06, 2016",Signed by the Florida Panthers to a two-year contract extension.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Apr 09, 2016",Missed 1 game (foot injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Apr 07, 2016","Foot injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 31, 2016",Missed 8 games (foot injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 14, 2016","Foot injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 10, 2016",Missed 5 games (undisclosed).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Feb 28, 2016","Undisclosed, injured reserve.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 22, 2015",Missed 4 games (lower body injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 15, 2015","Lower body injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jul 01, 2014",Signed as an unrestricted free agent by the Florida Panthers to a three-year contract.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 11, 2014",Missed 3 games (suspended by nhl).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 03, 2014",Suspended by the NHL for 3 games.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 23, 2013",Missed 2 games (lower body injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 18, 2013","Lower body injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 05, 2013",Missed 5 games (strained back).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 28, 2013","Strained back, injured reserve.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 25, 2013","Strained back, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 01, 2013",Missed 1 game (lower body injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Oct 27, 2013","Lower body injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 19, 2013",Missed 2 games (upper body injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 14, 2013","Upper body injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"May 30, 2012",Re-signed by the Columbus Blue Jackets to a two-year contract.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Apr 07, 2012",Missed the last 16 regular season games (concussion).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 08, 2012","Concussion, sidelined indefinitely.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 30, 2010",Missed 8 games (groin).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 15, 2010","Groin, injured reserve.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 13, 2010","Groin, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 20, 2010",Missed 3 games (lower body injury).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 12, 2010","Lower body injury, day-to-day.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jul 01, 2010",Re-signed as an unrestricted free agent by the Columbus Blue Jackets to a two-year contract.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Apr 11, 2010",Missed the last 15 games of the regular season (sprained left MCL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 11, 2010","Sprained left MCL, sidelined indefinitely.",DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 09, 2010",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 07, 2010",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 04, 2010",Recalled from Syracuse (AHL) on an emergency basis.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 12, 2009",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Nov 04, 2009",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Sep 28, 2009",Placed on waivers by the Columbus Blue Jackets for the purpose of assignement to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 15, 2009",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 12, 2009",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Oct 08, 2008",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jul 14, 2008",Re-signed as an unrestricted free agent by the Columbus Blue Jackets to a one-year contract.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Apr 08, 2008",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Feb 26, 2008",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 19, 2007",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 18, 2007",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 11, 2007",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 09, 2007",Recalled from Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Sep 30, 2007",Assigned to Syracuse (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jul 11, 2007",Signed as an unrestricted free afgent by the Columbus Blue Jackets to a one-year contract.,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Mar 14, 2007",Recalled from Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Feb 23, 2007",Assigned to Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Feb 22, 2007",Recalled from Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Jan 03, 2007",Assigned to Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Dec 21, 2006",Recalled from Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Oct 02, 2006",Assigned to Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
"Sep 30, 2006",Recalled from Chicago (AHL).,DEREK,MACKENZIE,FLORIDA,PANTHERS
