Date,Injury,Firstname,Lastname,City,TeamName
"Nov 10, 2017",Missed 1 game (upper body injury).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Nov 07, 2017","Upper body injury, day-to-day.",MICHAEL,MATHESON,FLORIDA,PANTHERS
"Oct 08, 2017",Signed by the Florida Panthers to an eight-year contract extension.,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Apr 27, 2016",Assigned to the Portland Pirates (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Apr 08, 2016",Recalled from the Portland Pirates (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Feb 29, 2016",Assigned to the Portland Pirates (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Feb 19, 2016",Recalled from the Portland Pirates (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Sep 30, 2015",Assigned to the Portland Pirates (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Apr 01, 2015",Re-assigned to the San Antonio Rampage (AHL).,MICHAEL,MATHESON,FLORIDA,PANTHERS
"Mar 31, 2015",Signed by the Florida Panthers to a three-year entry-level contract.,MICHAEL,MATHESON,FLORIDA,PANTHERS
