Date,Injury,Firstname,Lastname,City,TeamName
"Feb 07, 2018",Missed 5 games (groin).,JAMES,REIMER,FLORIDA,PANTHERS
"Jan 29, 2018","Groin, injured reserve.",JAMES,REIMER,FLORIDA,PANTHERS
"Jan 24, 2018","Lower body injury, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Apr 06, 2017",Missed 3 games (undisclosed).,JAMES,REIMER,FLORIDA,PANTHERS
"Mar 30, 2017","Undisclosed, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Jan 25, 2017",Missed 2 games (personal reasons).,JAMES,REIMER,FLORIDA,PANTHERS
"Jan 19, 2017","Personal reasons, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Jul 01, 2016",Signed as an unrestricted free agent by the Florida Panthers to a five-year contract.,JAMES,REIMER,FLORIDA,PANTHERS
"Feb 27, 2016",Acquired from the Toronto Maple Leafs.,JAMES,REIMER,FLORIDA,PANTHERS
"Jan 06, 2016",Missed 2 games (groin).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 30, 2015","Groin, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Dec 26, 2015",Missed 7 games (groin).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 21, 2015","Groin, injured reserve.",JAMES,REIMER,FLORIDA,PANTHERS
"Dec 04, 2015","Undisclosed, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Dec 02, 2015",Missed 2 games (undisclosed).,JAMES,REIMER,FLORIDA,PANTHERS
"Nov 28, 2015","Undisclosed, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Jul 25, 2014",Re-signed as a restricted free agent by the Toronto Maple Leafs to a two-year contract.,JAMES,REIMER,FLORIDA,PANTHERS
"Jul 05, 2014",Filed for salary arbitration.,JAMES,REIMER,FLORIDA,PANTHERS
"Jun 30, 2014",Toronto Maple Leafs tendered a qualifying offer.,JAMES,REIMER,FLORIDA,PANTHERS
"Feb 27, 2013",Missed 7 games (strained mcl).,JAMES,REIMER,FLORIDA,PANTHERS
"Feb 13, 2013","Strained MCL, injured reserve.",JAMES,REIMER,FLORIDA,PANTHERS
"Apr 07, 2012",Missed the last 6 regular season games (upper body injury).,JAMES,REIMER,FLORIDA,PANTHERS
"Mar 27, 2012","Upper body injury, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Dec 03, 2011",Missed 18 games (head injury).,JAMES,REIMER,FLORIDA,PANTHERS
"Oct 27, 2011","Head injury, injured reserve.",JAMES,REIMER,FLORIDA,PANTHERS
"Oct 24, 2011","Head injury, day-to-day.",JAMES,REIMER,FLORIDA,PANTHERS
"Jun 09, 2011",Re-signed by the Toronto Maple Leafs to a three-year contract extension.,JAMES,REIMER,FLORIDA,PANTHERS
"Jan 23, 2011",Recalled from Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Jan 14, 2011",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 17, 2010",Recalled from Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 08, 2010",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 06, 2010",Recalled from Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 01, 2010",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Nov 18, 2010",Recalled from Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Oct 06, 2010",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Oct 26, 2009",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Oct 13, 2009",Recalled from Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Sep 19, 2009",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Mar 13, 2009",Re-assigned to South Carolina (ECHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 29, 2008",Assigned to Reading (ECHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Dec 21, 2008",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Oct 16, 2008",Re-assigned to Reading (ECHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Sep 26, 2008",Assigned to Toronto (AHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Mar 19, 2008",Signed by the Toronto Maple Leafs to a three-year entry level contract.,JAMES,REIMER,FLORIDA,PANTHERS
"Sep 17, 2007",Returned to his junior team (Red Deer-WHL).,JAMES,REIMER,FLORIDA,PANTHERS
"Sep 13, 2006",Returned to his junior team (Red Deer-WHL).,JAMES,REIMER,FLORIDA,PANTHERS
