Date,Injury,Firstname,Lastname,City,TeamName
"Aug 03, 2017",Re-signed as a restricted free agent by the Florida Panthers to a one-year two-way contract.,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Jun 26, 2017",Florida Panthers tendered a qualifying offer.,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Apr 10, 2017",Assigned to the Springfield Thunderbirds (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Apr 02, 2017",Recalled from the Springfield Thunderbirds (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Mar 21, 2017",Assigned to the Springfield Thunderbirds (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Mar 13, 2017",Recalled from the Springfield Thunderbirds (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Oct 06, 2016",Assigned to the Springfield Thunderbirds (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Sep 30, 2015",Assigned to the Portland Pirates (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Apr 13, 2015",Re-assigned to the San Antonio Rampage (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Mar 24, 2015",Re-assigned to the Cincinnati Cyclones (ECHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Feb 05, 2015",Re-assigned to the San Antonio Rampage (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Jan 06, 2015",Re-assigned to the Cincinnati Cyclones (ECHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Oct 03, 2014",Assigned to the San Antonio Rampage (AHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"May 29, 2014",Signed by the Florida Panthers to a three-year entry-level contract.,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
"Sep 16, 2013",Returned to his junior team (Halifax-QMJHL).,MACKENZIE,WEEGAR,FLORIDA,PANTHERS
