Date,Injury,Firstname,Lastname,City,TeamName
"Feb 09, 2017","Fined $2,000 by the NHL.",KEITH,YANDLE,FLORIDA,PANTHERS
"Jun 23, 2016",Re-signed by the Florida Panthers to a seven-year contract.,KEITH,YANDLE,FLORIDA,PANTHERS
"Jun 20, 2016",Acquired from the New York Rangers.,KEITH,YANDLE,FLORIDA,PANTHERS
"Mar 01, 2015",Acquired from the Arizona Coyotes.,KEITH,YANDLE,FLORIDA,PANTHERS
"Jul 05, 2011",Re-signed as a restricted free agent by the Phoenix Coyotes to a five-year contract.,KEITH,YANDLE,FLORIDA,PANTHERS
"Jul 16, 2009",Re-signed as a restricted free agent by the Phoenix Coyotes to a two-year contract.,KEITH,YANDLE,FLORIDA,PANTHERS
"Jun 30, 2009",Phoenix Coyotes tendered a qualifying offer.,KEITH,YANDLE,FLORIDA,PANTHERS
"Apr 04, 2008",Assigned to San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"Feb 02, 2008",Missed 2 games (knee injury).,KEITH,YANDLE,FLORIDA,PANTHERS
"Jan 29, 2008","Knee injury, day-to-day.",KEITH,YANDLE,FLORIDA,PANTHERS
"Dec 10, 2007",Recalled from San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"Sep 24, 2007",Assigned to San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"Oct 30, 2006",Assigned to San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"Oct 10, 2006",Recalled from San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"Oct 02, 2006",Assigned to San Antonio (AHL).,KEITH,YANDLE,FLORIDA,PANTHERS
"May 05, 2006",Signed by the Phoenix Coyotes to a entry-level contract.,KEITH,YANDLE,FLORIDA,PANTHERS
"Sep 15, 2005",Returned to his junior team (Moncton-QMJHL).,KEITH,YANDLE,FLORIDA,PANTHERS
