Date,Injury,Firstname,Lastname,City,TeamName
"May 06, 2017",Missed the last playoff game (concussion).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"May 02, 2017","Concussion, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Oct 25, 2016",Missed 6 games (concussion).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Oct 10, 2016","Concussion, sidelined indefinitely.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 26, 2015",Missed 1 game (lower body injury).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 21, 2015","Lower body injury, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 15, 2015",Missed 1 game (illness).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 14, 2015","Undisclosed, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 28, 2015",Missed 1 game (lower body injury).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 27, 2015","Lower body injury, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 18, 2014",Missed 3 games (mumps).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 12, 2014","Mumps, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Apr 09, 2014",Missed 1 game (upper body injury).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Apr 06, 2014","Upper body injury, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"May 03, 2013",Missed the last 12 regular season and first playoff games (oral surgery).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Apr 02, 2013","Oral surgery, sidelined indefinitely.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jul 01, 2012",Signed by the Pittsburgh Penguins to a 12-year contract extension.,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 15, 2012",Missed 40 games (concussion).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 17, 2011","Concussion, injured reserve.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 08, 2011","Headaches, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Nov 21, 2011",Missed 20 games (post concussion).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Oct 03, 2011","Post concussion, injured reserve.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Apr 27, 2011",Missed the last 41 games of the regular season and 7 playoff games (concussion).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Feb 01, 2011","Concussion, injured reserve.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 06, 2011","Mild concussion, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 07, 2009",Missed 1 game (groin).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Dec 05, 2009","Groin, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 05, 2009",Missed 4 games (groin).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Feb 25, 2009","Groin, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 18, 2009",Missed 1 game (lower body injury).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 16, 2009","Lower body injury, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Apr 06, 2008","Rest, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 27, 2008",Missed 7 games (right ankle injury).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 12, 2008","Right ankle injury, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Mar 04, 2008",Missed 21 games (sprained right ankle).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jan 19, 2008","Sprained right ankle, sidelined indefinitely.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Jul 10, 2007",Re-signed by the Pittsburgh Penguins to a five-year contract extension.,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Nov 28, 2006",Missed 3 games (groin).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Nov 22, 2006","Groin, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Feb 04, 2006",Missed 1 game (flu).,SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Feb 02, 2006","Flu, day-to-day.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
"Sep 09, 2005","Signed by the Pittsburgh Penguins to a three-year, entry-level contract.",SIDNEY,CROSBY,PITTSBURGH,PENGUINS
