Date,Injury,Firstname,Lastname,City,TeamName
"Jan 07, 2018",Missed 2 games (concussion).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jan 04, 2018","Concussion, day-to-day.",BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jul 24, 2017",Re-signed as a restricted free agent by the Pittsburgh Penguins to a six-year contract.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jul 05, 2017",Filed for salary arbitration.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jun 26, 2017",Pittsburgh Penguins tendered a qualifying offer.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jan 24, 2017",Missed 10 games (broken jaw).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 28, 2016","Broken jaw, injured reserve.",BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Apr 02, 2016",Missed 3 games (upper body injury).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Mar 27, 2016","Upper body injury, day-to-day.",BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jul 09, 2015",Re-signed as a restricted free agent by the Pittsburgh Penguins to a two-year contract.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Apr 26, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Apr 12, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 30, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 29, 2014",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 28, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 02, 2014",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Oct 04, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 30, 2013",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Dec 09, 2013",Recalled from Wilkes-Barre/Scranton (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Sep 26, 2013",Assigned to Wilkes-Barre/Scranton (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Sep 15, 2012",Assigned to Wilkes-Barre/Scranton (AHL).,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Jun 22, 2012",Acquired from the Carolina Hurricanes.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Apr 11, 2012",Signed by the Charlotte Checkers (AHL) to an amateur tryout contract.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
"Apr 10, 2012",Signed by the Carolina Hurricanes to a three-year entry-level contract.,BRIAN,DUMOULIN,PITTSBURGH,PENGUINS
