Date,Injury,Firstname,Lastname,City,TeamName
"May 15, 2017",Missed the last 2 playoff games (lower body injury).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"May 10, 2017","Undisclosed, day-to-day.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 29, 2017",Missed the last 16 regular season and first 6 playoff games (lower body injury).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 12, 2017","Lower body injury, injured reserve.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Mar 12, 2017","Lower body injury, sidelined indefinitely.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Mar 11, 2017","Undisclosed, day-to-day.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Feb 17, 2017",Missed 5 games (lower body injury).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Feb 11, 2017","Concussion, injured reserve.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Feb 06, 2017","Concussion, day-to-day.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Mar 11, 2016",Missed 2 games (undisclosed).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Mar 06, 2016","Undisclosed, day-to-day.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Jan 16, 2016",Acquired from the Anaheim Ducks.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Aug 14, 2015",Re-signed as a restricted free agent by the Anaheim Ducks to a four-year contract.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Jun 27, 2015",Acquired from the New York Rangers.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Oct 29, 2013",Missed 10 games (left shoulder surgery).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Oct 01, 2013","Left shoulder surgery, injured reserve.",CARL,HAGELIN,PITTSBURGH,PENGUINS
"Jul 10, 2013",Re-signed as a restricted free agent by the New York Rangers to a two-year contract.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Jul 01, 2013",New York Rangers tendered a qualifying offer.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Sep 28, 2012",Signed with Sodertalje SK (Sweden).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 23, 2012",Missed 3 games (suspended by nhl).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 15, 2012",Suspended by the NHL for 3 games.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Nov 24, 2011",Recalled from Connecticut (AHL).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Oct 01, 2011",Assigned to Connecticut (AHL).,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 13, 2011",Signed by the Connecticut Whale (AHL) to an amateur tryout contract.,CARL,HAGELIN,PITTSBURGH,PENGUINS
"Apr 11, 2011",Signed by the New York Rangers to an entry-level contract.,CARL,HAGELIN,PITTSBURGH,PENGUINS
