Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Signed by the Pittsburgh Penguins to a five-year contract extension.,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 23, 2018",Missed 8 games (lower body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 08, 2018","Lower body injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 05, 2018","Lower body injury, sidelined indefinitely.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 03, 2018","Lower body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 21, 2017",Missed 1 game (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 18, 2017","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Oct 11, 2017",Missed 3 games (hand injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Oct 03, 2017","Hand injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"May 29, 2017",Missed the last 6 playoff games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"May 15, 2017","Undisclosed, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 17, 2017",Missed 5 games (concussion).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 08, 2017","Concussion, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Nov 30, 2016",Missed 6 games (concussion).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Nov 17, 2016","Concussion, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 28, 2015",Missed 5 games (undisclosed).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 16, 2015","Undisclosed, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jan 27, 2015",Missed 11 games (lower body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 29, 2014","Lower body injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 12, 2014",Missed 2 games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 06, 2014","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jun 27, 2014",Acquired from the Nashville Predators.,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 25, 2014",Missed 1 game (personal reasons).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 23, 2014","Personal reasons, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jan 12, 2014",Missed 2 games (lower body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jan 09, 2014","Lower body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Nov 30, 2013",Missed 3 games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Nov 25, 2013","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Apr 30, 2013",Re-signed by the Nashville Predators to a five-year contract.,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Apr 27, 2013",Missed the last 6 regular season games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Apr 14, 2013","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 25, 2013",Missed 8 games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 11, 2013","Upper body injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Mar 09, 2013","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 18, 2013",Missed 10 games (knee injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jan 31, 2013","Knee injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Jan 28, 2013","Knee injury, sidelined indefinitely.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 08, 2012",Signed with Fribourg-Gotteron (Switzerland).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Nov 12, 2012",Signed with Djurgardens IF (Sweden).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Oct 02, 2012",Signed with Martigny-Verbier Red Ice (Switzerland).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 25, 2012",Missed 5 games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 17, 2012","Upper body injury, injured reserve.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Feb 14, 2012","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Oct 15, 2011",Missed 1 game (lower body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Oct 13, 2011","Lower body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 22, 2010",Missed 3 games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Dec 15, 2010","Upper body injury, day-to-day.",PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Aug 24, 2010",Re-signed as a restricted free agent by the Nashville Predators to a three-year contract.,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
"Apr 26, 2010",Missed 4 playoff games (upper body injury).,PATRIC,HORNQVIST,PITTSBURGH,PENGUINS
