Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Missed 8 games (lower body injury).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Feb 08, 2018","Lower body injury, injured reserve.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Dec 18, 2017",Missed 4 games (upper body injury).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Dec 08, 2017","Upper body injury, day-to-day.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Jun 11, 2017",Missed the last 11 playoff games (lower body injury).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"May 17, 2017","Lower body injury, day-to-day.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Jan 08, 2017",Missed 7 games (lower body injury).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Dec 31, 2016","Lower body injury, injured reserve.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Dec 17, 2016","Lower body injury, sidelined indefinitely.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 14, 2016",Signed by the Pittsburgh Penguins to a two-year contract extension.,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Jan 07, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 22, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 21, 2015",Placed on waivers by the Pittsburgh Penguins.,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 21, 2015",Missed 6 games (undisclosed).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 06, 2015","Undisclosed, injured reserve.",TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Jun 24, 2015",Re-signed by the Pittsburgh Penguins to a one-year contract.,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Sep 24, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"May 18, 2014",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 12, 2014",Re-assigned to the Wheeling Nailers (ECHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 10, 2014",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 07, 2014",Re-assigned to the Wheeling Nailers (ECHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 01, 2014",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Feb 28, 2014",Re-assigned to the Wheeling Nailers (ECHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Sep 24, 2013",Assigned to Wilkes-Barre/Scranton (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 20, 2012",Re-assigned to Wilkes-Barre/Scranton (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Oct 08, 2012",Re-assigned to Wheeling (ECHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Sep 15, 2012",Assigned to Wilkes-Barre/Scranton (AHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Sep 22, 2011",Returned to his junior team (Windsor-OHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Mar 22, 2011",Signed by the Pittsburgh Penguins to a three-year entry-level contract.,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
"Sep 15, 2010",Returned to his junior team (Windsor-OHL).,TOM,KUHNHACKL,PITTSBURGH,PENGUINS
