Date,Injury,Firstname,Lastname,City,TeamName
"Apr 09, 2017",Missed 25 games (hand surgery).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Feb 17, 2017","Hand surgery, injured reserve.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Dec 31, 2016",Missed 2 games (illness).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Dec 27, 2016","Illness, day-to-day.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"May 10, 2016",Missed the last 3 playoff games (upper body injury).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"May 02, 2016","Upper body injury, day-to-day.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Apr 13, 2016",Missed the last 9 regular season games (lower body injury).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Mar 25, 2016","Lower body injury, sidelined indefinitely.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Feb 26, 2016",Signed by the Pittsburgh Penguins to a six-year contract extension.,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Dec 05, 2015",Missed 6 games (upper body injury).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Nov 18, 2015","Upper body injury, sidelined indefinitely.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Oct 08, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Oct 06, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Apr 24, 2015",Missed the last 56 regular season and all 5 playoff games (upper body injury).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Dec 13, 2014","Upper body injury, injured reserve.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Dec 08, 2014","Upper body injury, day-to-day.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Nov 18, 2014",Missed 6 games (thyroid).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Nov 04, 2014","Thyroid, sidelined indefinitely.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"Apr 09, 2014",Missed 2 games (upper body injury).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Apr 05, 2014","Undisclosed, day-to-day.",OLLI,MAATTA,PITTSBURGH,PENGUINS
"May 28, 2013",Signed by the Wilkes-Barre/Scranton Penguins (AHL) to an amateur try-out contract.,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Sep 15, 2012",Returned to his junior team (London-OHL).,OLLI,MAATTA,PITTSBURGH,PENGUINS
"Sep 12, 2012",Signed by the Pittsburgh Penguins to an entry-level contract.,OLLI,MAATTA,PITTSBURGH,PENGUINS
