Date,Injury,Firstname,Lastname,City,TeamName
"Jan 19, 2018","Fined $5,000 by the NHL.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Dec 01, 2017",Missed 4 games (upper body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Nov 21, 2017","Upper body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 11, 2017",Missed the last 13 regular season games (shoulder injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 17, 2017","Upper body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Feb 14, 2017",Missed 7 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Jan 31, 2017","Lower body injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Jan 25, 2017","Lower body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 16, 2016",Missed the last 15 regular season and first playoff games (upper body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 24, 2016","Upper body injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 12, 2016","Upper body injury, sidelined indefinitely.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Feb 27, 2016",Missed 10 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Feb 20, 2016","Lower body injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Feb 04, 2016","Lower body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 05, 2015",Missed 2 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 01, 2015","Lower body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 28, 2015",Missed 6 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 15, 2015","Lower body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Feb 04, 2015",Missed 5 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Jan 26, 2015","Lower body injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Jan 21, 2015","Undisclosed, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 16, 2014",Missed the last 11 regular season games (foot injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Apr 09, 2014","Foot injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Mar 25, 2014","Foot injury, sidelined indefinitely.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Jan 05, 2014",Missed 9 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Dec 29, 2013","Lower body injury, injured reserve.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Dec 16, 2013","Lower body injury, day-to-day.",EVGENI,MALKIN,PITTSBURGH,PENGUINS
"Dec 09, 2013",Missed 2 games (lower body injury).,EVGENI,MALKIN,PITTSBURGH,PENGUINS
