Date,Injury,Firstname,Lastname,City,TeamName
"Jan 25, 2018",Missed 12 games (upper body injury).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Dec 28, 2017","Upper body injury, injured reserve.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jun 22, 2017",Signed by the Pittsburgh Penguins to a two-year contract extension.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jun 05, 2017",Missed the last 6 playoff games (concussion).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"May 20, 2017","Concussion, day-to-day.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"May 08, 2017",Missed the last 10 playoff games (upper body injury).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 11, 2017","Upper body injury, day-to-day.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 29, 2017",Missed 1 game (upper body injury).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 26, 2017","Upper body injury, day-to-day.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 16, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 12, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 12, 2017",Missed 1 game (illness).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 11, 2017","Illness, day-to-day.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 06, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 01, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Dec 17, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Nov 09, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Nov 08, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Oct 03, 2016",Placed on waivers by the Pittsburgh Penguins for the purpose of being assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jul 01, 2016",Signed as an unrestricted free agent by the Pittsburgh Penguins to a one-year contract.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 19, 2016",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 18, 2016",Recalled from the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Oct 02, 2015",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 13, 2015",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 10, 2015",Recalled from the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 20, 2015",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 16, 2015",Recalled from the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Sep 26, 2014",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jul 16, 2014",Re-signed as a restricted free agent by the Buffalo Sabres to a two-year contract.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jun 30, 2014",Buffalo Sabres tendered a qualifying offer.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 15, 2014",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 13, 2014",Missed the last 4 regular season games (head injury).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 08, 2014","Head injury, day-to-day.",CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Mar 08, 2014",Recalled from the Rochester Americans (AHL) on an emergency basis.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Feb 07, 2014",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Jan 24, 2014",Recalled from the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Dec 23, 2013",Assigned to the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Dec 17, 2013",Recalled from the Rochester Americans (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Sep 23, 2013",Assigned to Rochester (AHL).,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
"Apr 13, 2013",Signed as a free agent by the Buffalo Sabres to a two-year entry-level contract.,CHAD,RUHWEDEL,PITTSBURGH,PENGUINS
