Date,Injury,Firstname,Lastname,City,TeamName
"Feb 09, 2018",Missed 3 games (lower body injury).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Feb 03, 2018","Lower body injury, injured reserve.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Feb 01, 2018","Lower body injury, sidelined indefinitely.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jul 30, 2017",Re-signed as a restricted free agent by the Pittsburgh Penguins to a three-year contract.,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jul 05, 2017",Filed for salary arbitration.,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jun 26, 2017",Pittsburgh Penguins tendered a qualifying offer.,CONOR,SHEARY,PITTSBURGH,PENGUINS
"May 06, 2017",Missed the last playoff game (concussion).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"May 02, 2017","Concussion, day-to-day.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Mar 03, 2017",Missed 13 games (upper body injury).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Feb 03, 2017","Upper body injury, injured reserve.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Nov 05, 2016",Missed 7 games (eye injury).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Nov 03, 2016","Eye injury, day-to-day.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Oct 25, 2016","Eye injury, injured reserve.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Oct 19, 2016","Eye injury, day-to-day.",CONOR,SHEARY,PITTSBURGH,PENGUINS
"Mar 12, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Mar 10, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Mar 06, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Feb 29, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Feb 01, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jan 27, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jan 15, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jan 07, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Dec 15, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Sep 30, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Jul 01, 2015",Signed as an undrafted free agent by the Pittsburgh Penguins to a two-year entry-level contract.,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Sep 24, 2014",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Sep 24, 2014",Released from training camp by the Pittsburgh Penguins.,CONOR,SHEARY,PITTSBURGH,PENGUINS
"Sep 10, 2014",Invited to training camp by the Pittsburgh Penguins.,CONOR,SHEARY,PITTSBURGH,PENGUINS
