Date,Injury,Firstname,Lastname,City,TeamName
"Jan 09, 2018",Signed by the Nashville Predators to a one-year contract extension.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 04, 2017",Recalled from his conditioning assignment with the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 03, 2017",Assigned to the Milwaukee Admirals (AHL) for conditioning purposes.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 03, 2017",Missed 14 games (broken hand).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Nov 30, 2016","Broken hand, injured reserve.",ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Nov 24, 2016",Missed 18 games (upper body injury).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Nov 19, 2016",Assigned to the Milwaukee Admirals (AHL) for conditioning purposes.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Oct 18, 2016","Upper body injury, injured reserve.",ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Oct 15, 2016","Upper body injury, day-to-day.",ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Apr 07, 2016",Missed 9 games (lower body injury).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Mar 18, 2016","Lower body injury, day-to-day.",ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Feb 26, 2016",Signed by the Nashville Predators to a two-year contract extension.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Oct 24, 2015",Assigned to the Milwaukee Admirals (AHL) for conditioning purposes.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jul 13, 2015",Re-signed as a restricted free agent by the Nashville Predators to a one-year contract.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Apr 22, 2015",Recalled from the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Feb 24, 2015",Assigned to the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Feb 17, 2015",Recalled from the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Feb 15, 2015",Assigned to the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Feb 10, 2015",Recalled from the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 18, 2015",Assigned to the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 17, 2015",Recalled from the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Sep 28, 2014",Assigned to the Milwaukee Admirals (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jul 08, 2014",Re-signed as a restricted free agent by the Nashville Predators to a one-year contract.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jun 30, 2014",Nashville Predators tendered a qualifying offer.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Sep 20, 2013",Assigned to Milwaukee (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Jan 07, 2013",Re-assigned to Milwaukee (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Nov 13, 2012",Re-assigned to Cincinnati (ECHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Sep 14, 2012",Assigned to Milwaukee (AHL).,ANTHONY,BITETTO,NASHVILLE,PREDATORS
"Mar 29, 2012",Signed by the Nashville Predators to a two-year entry-level contract.,ANTHONY,BITETTO,NASHVILLE,PREDATORS
