Date,Injury,Firstname,Lastname,City,TeamName
"Nov 14, 2017",Missed 11 games (lower body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Oct 21, 2017","Lower body injury, injured reserve.",NICK,BONINO,NASHVILLE,PREDATORS
"Oct 17, 2017","Lower body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Jul 01, 2017",Signed as an unrestricted free agent by the Nashville Predators to a four-year contract.,NICK,BONINO,NASHVILLE,PREDATORS
"Jun 11, 2017",Missed the last 4 playoff games (lower body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Jun 03, 2017","Lower body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Feb 25, 2017",Missed 1 game (illness).,NICK,BONINO,NASHVILLE,PREDATORS
"Feb 21, 2017","Illness, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Mar 26, 2016",Missed 1 game (upper body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 25, 2016","Upper body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Feb 27, 2016",Missed 17 games (hand injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Jan 14, 2016","Hand injury, injured reserve.",NICK,BONINO,NASHVILLE,PREDATORS
"Dec 18, 2015",Missed 1 game (illness).,NICK,BONINO,NASHVILLE,PREDATORS
"Dec 16, 2015","Illness, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Nov 19, 2015",Missed 1 game (undisclosed).,NICK,BONINO,NASHVILLE,PREDATORS
"Nov 17, 2015","Undisclosed, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Jul 28, 2015",Acquired from the Vancouver Canucks.,NICK,BONINO,NASHVILLE,PREDATORS
"Feb 24, 2015",Missed 7 games (foot injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Feb 16, 2015","Foot injury, injured reserve.",NICK,BONINO,NASHVILLE,PREDATORS
"Feb 11, 2015","Lower body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Jun 27, 2014",Acquired from the Anaheim Ducks.,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 23, 2014",Missed 1 game (lower body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 20, 2014","Lower body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Feb 28, 2014",Missed 4 games (upper body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Jan 31, 2014","Upper body injury, injured reserve.",NICK,BONINO,NASHVILLE,PREDATORS
"Nov 27, 2013",Signed by the Anaheim Ducks to a three-year contract extension.,NICK,BONINO,NASHVILLE,PREDATORS
"Apr 21, 2013",Missed 21 games (lower body injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 12, 2013","Lower body injury, injured reserve.",NICK,BONINO,NASHVILLE,PREDATORS
"Mar 10, 2013","Lower body injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Oct 16, 2012",Signed with HC Neumarkt-Egna (Italy).,NICK,BONINO,NASHVILLE,PREDATORS
"Jul 12, 2012",Re-signed as a restricted free agent by the Anaheim Ducks to a two-year contract.,NICK,BONINO,NASHVILLE,PREDATORS
"Jun 25, 2012",Anaheim Ducks tendered a qualifying offer.,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 14, 2012",Missed 2 games (leg injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 10, 2012","Leg injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Dec 16, 2011",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Dec 09, 2011",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Dec 06, 2011",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Nov 16, 2011",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Nov 03, 2011","Knee injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Oct 31, 2011",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Sep 26, 2011",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Jul 14, 2011",Re-signed as a restricted free agent by the Anaheim Ducks to a one-year contract.,NICK,BONINO,NASHVILLE,PREDATORS
"Jun 27, 2011",Anaheim Ducks tendered a qualifying offer.,NICK,BONINO,NASHVILLE,PREDATORS
"Apr 09, 2011",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Jan 03, 2011",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Dec 31, 2010",Missed 3 games (right foot injury).,NICK,BONINO,NASHVILLE,PREDATORS
"Dec 21, 2010","Right foot injury, day-to-day.",NICK,BONINO,NASHVILLE,PREDATORS
"Nov 26, 2010",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Nov 23, 2010",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Nov 01, 2010",Recalled from Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Sep 23, 2010",Assigned to Syracuse (AHL).,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 21, 2010",Signed by the Anaheim Ducks to a two-year entry-level contract.,NICK,BONINO,NASHVILLE,PREDATORS
"Mar 04, 2009",Acquired from the San Jose Sharks.,NICK,BONINO,NASHVILLE,PREDATORS
