Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Acquired from the Vegas Golden Knights.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Montreal Canadiens in the NHL Expansion Draft.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Apr 20, 2017",Missed the last 2 regular season and first 4 playoff games (lower body injury).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Apr 14, 2017","Lower body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Apr 12, 2017","Lower body injury, injured reserve.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Apr 07, 2017","Lower body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Dec 28, 2016",Missed 2 games (personal reasons).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Dec 22, 2016","Personal reasons, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Feb 03, 2016",Missed 1 game (personal reasons).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Feb 02, 2016","Personal reasons, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Nov 25, 2015",Missed 5 games (lower body injury).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Nov 19, 2015","Lower body injury, injured reserve.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Nov 14, 2015","Lower body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Mar 16, 2015",Missed 12 games (upper body injury).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Feb 24, 2015","Upper body injury, injured reserve.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Feb 19, 2015","Upper body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Nov 29, 2014","Fined $11,021,51 by the NHL.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Oct 16, 2014",Missed 2 games (upper body injury).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Oct 11, 2014","Upper body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"May 29, 2014",Missed the last 2 playoff games (undisclosed).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"May 27, 2014","Undisclosed, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Feb 07, 2014","Fined $5,000 by the NHL.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Nov 15, 2013",Missed 19 games (left knee surgery).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Oct 31, 2013",Signed by the Montreal Canadiens to a four-year contract extension.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Oct 01, 2013","Left knee surgery, injured reserve.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"May 09, 2013",Missed the last 10 regular season and first 5 playoff games (torn ligament in left knee).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Apr 08, 2013","Torn ligament in left knee, remainder of the regular season.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Oct 13, 2012",Signed with Ak Bars Kazan (KHL).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Jul 01, 2012",Re-signed by the Montreal Canadiens to a two-year contract.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Jun 25, 2012",Montreal Canadiens tendered a qualifying offer.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Mar 16, 2012",Missed 1 game (upper body injury).,ALEXEI,EMELIN,NASHVILLE,PREDATORS
"Mar 14, 2012","Upper body injury, day-to-day.",ALEXEI,EMELIN,NASHVILLE,PREDATORS
"May 17, 2011",Signed by the Montreal Canadiens to a one-year contract.,ALEXEI,EMELIN,NASHVILLE,PREDATORS
