Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Signed as a free agent by the Nashville Predators to a one-year contract.,MIKE,FISHER,NASHVILLE,PREDATORS
"Jan 31, 2018",Signed by the Nashville Predators to a professional try-out contract.,MIKE,FISHER,NASHVILLE,PREDATORS
"Aug 03, 2017",Announced his retirement.,MIKE,FISHER,NASHVILLE,PREDATORS
"May 29, 2017",Missed the last 2 playoff games (undisclosed).,MIKE,FISHER,NASHVILLE,PREDATORS
"May 20, 2017","Undisclosed, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 13, 2017",Missed the last 2 regular season games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 06, 2017","Lower body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Mar 30, 2017",Missed 4 games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Mar 23, 2017","Lower body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Nov 10, 2016",Missed 3 games (upper body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Nov 03, 2016","Upper body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 26, 2016",Missed 1 game (food poisoning).,MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 22, 2016","Food poisoning, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Dec 28, 2015",Missed 11 games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Dec 02, 2015","Lower body injury, injured reserve.",MIKE,FISHER,NASHVILLE,PREDATORS
"Jun 26, 2015",Re-signed by the Nashville Predators to a two-year contract.,MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 23, 2015",Missed the last 3 playoff games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 17, 2015","Lower body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 15, 2015",Missed the last 2 regular season games (undisclosed).,MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 09, 2015","Undisclosed, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Nov 27, 2014",Missed 21 games (achilles surgery).,MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 09, 2014","Achilles surgery, injured reserve.",MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 07, 2014","Achilles surgery, injured/non-roster list.",MIKE,FISHER,NASHVILLE,PREDATORS
"Nov 15, 2013",Missed 4 games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Nov 06, 2013","Lower body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 24, 2013",Missed 3 games (lower body injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Oct 19, 2013","Lower body injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 25, 2013",Missed 7 games (hand injury).,MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 07, 2013","Hand injury, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
"Apr 04, 2013",Missed 3 games (bruised right hand).,MIKE,FISHER,NASHVILLE,PREDATORS
"Mar 30, 2013","Bruised right hand, day-to-day.",MIKE,FISHER,NASHVILLE,PREDATORS
