Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Chicago Blackhawks.,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Jan 07, 2018",Missed 1 game (upper body injury).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Jan 05, 2018","Upper body injury, day-to-day.",RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 25, 2017","Fined $2,320 by the NHL.",RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 21, 2016",Missed 2 games (lower body injury).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 15, 2016","Lower body injury, day-to-day.",RYAN,HARTMAN,NASHVILLE,PREDATORS
"Nov 05, 2015",Assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 30, 2015",Recalled from the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 02, 2015",Assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"May 19, 2015",Recalled from the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Feb 22, 2015",Assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Feb 12, 2015",Recalled from the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Oct 02, 2014",Assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"May 09, 2014",Assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Apr 21, 2014",Recalled from the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Mar 29, 2014",Re-assigned to the Rockford IceHogs (AHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Nov 18, 2013",Signed by the Chicago Blackhawks to a three-year entry-level contract.,RYAN,HARTMAN,NASHVILLE,PREDATORS
"Sep 23, 2013",Returned to his junior team (Plymouth-OHL).,RYAN,HARTMAN,NASHVILLE,PREDATORS
