Date,Injury,Firstname,Lastname,City,TeamName
"Jan 09, 2018",Signed by the Nashville Predators to a two-year contract extension.,MATT,IRWIN,NASHVILLE,PREDATORS
"Jan 06, 2017",Signed by the Nashville Predators to a one-year contract extension.,MATT,IRWIN,NASHVILLE,PREDATORS
"Oct 24, 2016",Recalled from the Milwaukee Admirals (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Oct 02, 2016",Assigned to the Milwaukee Admirals (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Jul 01, 2016",Signed as an unrestricted free agent by the Nashville Predators to a one-year contract.,MATT,IRWIN,NASHVILLE,PREDATORS
"Oct 12, 2015",Assigned to the Providence Bruins (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Oct 11, 2015",Placed on waivers by the Boston Bruins.,MATT,IRWIN,NASHVILLE,PREDATORS
"Jul 10, 2015",Signed as an unrestricted free agent by the Boston Bruins to a one-year contract.,MATT,IRWIN,NASHVILLE,PREDATORS
"Mar 14, 2015",Missed 3 games (upper body injury).,MATT,IRWIN,NASHVILLE,PREDATORS
"Mar 07, 2015","Upper body injury, day-to-day.",MATT,IRWIN,NASHVILLE,PREDATORS
"Jan 14, 2014",Missed 2 games (upper body injury).,MATT,IRWIN,NASHVILLE,PREDATORS
"Jan 09, 2014","Upper body injury, day-to-day.",MATT,IRWIN,NASHVILLE,PREDATORS
"Apr 03, 2013",Signed by the San Jose Sharks to a two-year contract extension.,MATT,IRWIN,NASHVILLE,PREDATORS
"Feb 26, 2013",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Feb 09, 2013",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Jan 13, 2013",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Sep 17, 2012",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Jun 28, 2012",Re-signed by the San Jose Sharks to a one-year contract.,MATT,IRWIN,NASHVILLE,PREDATORS
"Jun 26, 2012",San Jose Sharks tendered a qualifying offer.,MATT,IRWIN,NASHVILLE,PREDATORS
"Apr 19, 2012",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Dec 18, 2011",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Dec 11, 2011",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Sep 24, 2011",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Apr 14, 2011",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Feb 19, 2011",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Feb 18, 2011",Recalled from Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Sep 22, 2010",Assigned to Worcester (AHL).,MATT,IRWIN,NASHVILLE,PREDATORS
"Mar 23, 2010",Signed as a free agent by the San Jose Sharks to a two-year entry-level contract.,MATT,IRWIN,NASHVILLE,PREDATORS
