Date,Injury,Firstname,Lastname,City,TeamName
"Apr 28, 2017",Missed the last playoff game (lower body injury).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Apr 26, 2017","Lower body injury, day-to-day.",CALLE,JARNKROK,NASHVILLE,PREDATORS
"Apr 13, 2017",Missed the last regular season game (lower body injury).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Apr 08, 2017","Lower body injury, day-to-day.",CALLE,JARNKROK,NASHVILLE,PREDATORS
"Jul 27, 2016",Re-signed as a restricted free agent by the Nashville Predators to a six-year contract.,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Jul 05, 2016",Filed for salary arbitration.,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Oct 28, 2015",Missed 1 game (illness).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Oct 24, 2015","Illness, day-to-day.",CALLE,JARNKROK,NASHVILLE,PREDATORS
"Jul 17, 2015",Re-signed as a restricted free agent by the Nashville Predators to a one-year contract.,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Apr 15, 2014",Assigned to the Milwaukee Admirals (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Mar 20, 2014",Recalled from the Milwaukee Admirals (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Mar 05, 2014",Acquired from the Detroit Red Wings.,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Sep 29, 2013",Assigned to Grand Rapids (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Sep 28, 2013",Recalled from Grand Rapids (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Sep 22, 2013",Assigned to Grand Rapids (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"Mar 25, 2013",Re-assigned to Grand Rapids (AHL).,CALLE,JARNKROK,NASHVILLE,PREDATORS
"May 30, 2012",Signed by the Detroit Red Wings to a three-year entry-level contract.,CALLE,JARNKROK,NASHVILLE,PREDATORS
