Date,Injury,Firstname,Lastname,City,TeamName
"Dec 13, 2017",Missed 3 games (upper body injury).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Dec 08, 2017","Upper body injury, injured reserve.",RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Dec 04, 2017","Upper body injury, day-to-day.",RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jul 28, 2017",Re-signed as a restricted free agent by the Nashville Predators to an eight-year contract.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jun 26, 2017",Nashville Predators tendered a qualifying offer.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jun 11, 2017",Missed the last 8 playoff games (left thigh injury).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"May 19, 2017","Left thigh injury, remainder of the playoffs.",RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jan 06, 2016",Acquired from the Columbus Blue Jackets.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Oct 29, 2015",Missed 2 games (illness).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Oct 24, 2015","Illness, day-to-day.",RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Oct 08, 2014","Visa issues, day-to-day.",RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Oct 06, 2014",Re-signed as a restricted free agent by the Columbus Blue Jackets to a three-year contract.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jun 30, 2014",Columbus Blue Jackets tendered a qualifying offer.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Apr 28, 2013",Assigned to Springfield (AHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Feb 24, 2013",Recalled from Springfield (AHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Feb 06, 2013",Assigned to Springfield (AHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Jan 12, 2013",Recalled from Springfield (AHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Sep 14, 2012",Assigned to Springfield (AHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Oct 02, 2010",Returned to his junior team (Portland-WHL).,RYAN,JOHANSEN,NASHVILLE,PREDATORS
"Sep 09, 2010",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,RYAN,JOHANSEN,NASHVILLE,PREDATORS
