Date,Injury,Firstname,Lastname,City,TeamName
"Oct 17, 2017",Missed 3 games (lower body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Oct 10, 2017","Lower body injury, day-to-day.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Apr 13, 2017",Missed the last regular season game (lower body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Apr 08, 2017","Lower body injury, day-to-day.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Feb 04, 2017",Missed 9 games (upper body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Jan 13, 2017","Upper body injury, injured reserve.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Apr 15, 2015",Missed the last regular season game (lower body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Apr 11, 2015","Lower body injury, day-to-day.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Oct 31, 2013",Missed 10 games (concussion).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Oct 10, 2013","Concussion, injured reserve.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Oct 08, 2013","Concussion, day-to-day.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Jun 10, 2013",Re-signed by the Nashville Predators to a seven-year contract.,ROMAN,JOSI,NASHVILLE,PREDATORS
"Sep 20, 2012",Signed with SC Bern (Switzerland).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Mar 30, 2012",Missed 9 games (upper body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Mar 12, 2012","Upper body injury, day-to-day.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Nov 25, 2011",Missed 21 games (upper body injury).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Nov 25, 2011",Recalled from Milwaukee (AHL).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Oct 02, 2011","Upper body injury, injured reserve.",ROMAN,JOSI,NASHVILLE,PREDATORS
"Sep 25, 2010",Assigned to Milwaukee (AHL).,ROMAN,JOSI,NASHVILLE,PREDATORS
"Sep 24, 2010","Wrist injury, late October.",ROMAN,JOSI,NASHVILLE,PREDATORS
"May 28, 2010",Signed by the Nashville Predators to a three-year entry-level contract.,ROMAN,JOSI,NASHVILLE,PREDATORS
