Date,Injury,Firstname,Lastname,City,TeamName
"Feb 17, 2018",Missed 1 game (illness).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 15, 2018","Illness, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 08, 2017",Missed 1 game (visa issues).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 07, 2017","Visa issues, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 05, 2017",Acquired from the Ottawa Senators.,KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 05, 2017",Signed by the Nashville Predators to a six-year contract extension.,KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 02, 2017",Missed 3 games (viral illness).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Oct 25, 2017","Illness, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Mar 14, 2017",Missed 3 games (finger injury).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Mar 08, 2017","Finger injury, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Apr 09, 2016",Missed the last 19 regular season games (sprained ankle).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 29, 2016","Sprained ankle, sidelined indefinitely.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 06, 2016",Missed 6 games (lower body injury).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Jan 21, 2016","Lower body injury, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Oct 06, 2012",Signed with Karpat Oulu (Finland).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Aug 29, 2012",Signed by the Ottawa Senators to a five-year contract extension.,KYLE,TURRIS,NASHVILLE,PREDATORS
"Dec 17, 2011",Acquired from the Phoenix Coyotes.,KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 22, 2011",Re-signed by the Phoenix Coyotes to a two-year contract.,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 22, 2011",Missed 2 games (undisclosed).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 22, 2011",Recalled from San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 19, 2011",Assigned to San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 14, 2011","Undisclosed, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Jan 08, 2011",Missed 1 game (upper body injury).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Jan 06, 2011","Upper body injury, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 30, 2010",Missed 3 games (upper body injury).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Nov 21, 2010","Upper body injury, day-to-day.",KYLE,TURRIS,NASHVILLE,PREDATORS
"Apr 13, 2010",Recalled from San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Sep 21, 2009",Assigned to San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Mar 02, 2009",Recalled from San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Feb 12, 2009",Assigned to San Antonio (AHL).,KYLE,TURRIS,NASHVILLE,PREDATORS
"Mar 31, 2008",Signed by the Phoenix Coyotes to an entry-level contract.,KYLE,TURRIS,NASHVILLE,PREDATORS
