Date,Injury,Firstname,Lastname,City,TeamName
"Jan 09, 2018",Signed by the Nashville Predators to a two-year contract extension.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 04, 2017",Missed 10 games (lower body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Nov 14, 2017","Lower body injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 21, 2017",Missed 3 games (upper body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 17, 2017","Upper body injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 14, 2017","Upper body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Jun 13, 2017",Signed by the Nashville Predators to a one-year contract extension.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 13, 2017",Missed the last 8 regular season games (lower body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 27, 2017","Lower body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Jul 01, 2016",Signed as an unrestricted free agent by the Nashville Predators to a one-year contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 24, 2016",Missed 4 games (upper body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 15, 2016","Upper body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 10, 2016",Recalled from the Utica Comets (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 06, 2016",Assigned to the Utica Comets (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 05, 2016",Placed on waivers by the Vancouver Canucks.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jul 01, 2015",Re-signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 14, 2015",Missed 2 games (upper body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 09, 2015","Upper body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Jul 04, 2014",Re-signed as a restricted free agent by the Vancouver Canucks to a one-year contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jun 30, 2014",Vancouver Canucks tendered a qualifying offer.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 06, 2014",Missed 4 games (upper body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 26, 2014","Upper body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 08, 2014",Missed 3 games (upper body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 04, 2014","Upper body injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 03, 2014","Upper body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 08, 2013",Recalled from Utica (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Nov 19, 2013",Assigned to Utica (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Nov 18, 2013",Placed on waivers by the Vancouver Canucks.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jul 05, 2013",Signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jul 02, 2013",Montreal Canadiens did not tender a qualifying offer.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 17, 2013",Missed 3 games (knee injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 11, 2013","Knee injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 27, 2013",Missed 8 games (knee injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 10, 2013","Knee injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 09, 2013","Knee injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Sep 18, 2012",Signed with Geneve-Servette HC (Switzerland).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 07, 2012",Missed the last 7 regular season games (lower body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 30, 2012","Lower body injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Mar 24, 2012","Lower body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 17, 2012",Missed 4 games (lower body injury).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 13, 2012","Lower body injury, injured reserve.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 09, 2012","Lower body injury, day-to-day.",YANNICK,WEBER,NASHVILLE,PREDATORS
"Jun 29, 2011",Re-signed by the Montreal Canadiens to a two-year contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jun 27, 2011",Montreal Canadiens tendered a qualifying offer.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Nov 18, 2010",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 06, 2010",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Feb 05, 2010",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jan 29, 2010",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 26, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 18, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 17, 2009",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 11, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Dec 09, 2009",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 12, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 04, 2009",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Sep 29, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 23, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Apr 08, 2009",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jan 14, 2009",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Jan 01, 2009",Recalled from Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Oct 04, 2008",Assigned to Hamilton (AHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
"Aug 15, 2008",Signed by the Montreal Canadiens to a three-year entry-level contract.,YANNICK,WEBER,NASHVILLE,PREDATORS
"Sep 16, 2007",Returned to his junior team (Kitchener-OHL).,YANNICK,WEBER,NASHVILLE,PREDATORS
