Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the New York Rangers to a one-year contract.,PAUL,CAREY,NEW,YORKRANGERS
"May 12, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"May 11, 2017",Placed on waivers by the Washington Capitals.,PAUL,CAREY,NEW,YORKRANGERS
"Apr 02, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Apr 01, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Apr 01, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 31, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 29, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 28, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 24, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 07, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 01, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jan 10, 2017",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jan 09, 2017",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Dec 06, 2016",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Dec 02, 2016",Missed 1 game (illness).,PAUL,CAREY,NEW,YORKRANGERS
"Dec 01, 2016","Illness, day-to-day.",PAUL,CAREY,NEW,YORKRANGERS
"Nov 30, 2016",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 27, 2016",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 25, 2016",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 21, 2016",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 19, 2016",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Oct 08, 2016",Placed on waivers by the Washington Capitals for the purpose of being assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jun 24, 2016",Re-signed by the Washington Capitals to a one-year contract.,PAUL,CAREY,NEW,YORKRANGERS
"Feb 08, 2016",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Feb 05, 2016",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jan 12, 2016",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jan 08, 2016",Recalled from the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Sep 29, 2015",Assigned to the Hershey Bears (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jul 08, 2015",Signed as an unrestricted free agent by the Washington Capitals to a one-year contract.,PAUL,CAREY,NEW,YORKRANGERS
"Mar 05, 2015",Assigned to the Providence Bruins (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Mar 02, 2015",Acquired from the Colorado Avalanche.,PAUL,CAREY,NEW,YORKRANGERS
"Mar 01, 2015",Placed on waivers by the Colorado Avalanche.,PAUL,CAREY,NEW,YORKRANGERS
"Feb 13, 2015",Recalled from the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Dec 12, 2014",Assigned to the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Dec 08, 2014",Recalled from the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 28, 2014",Assigned to the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Nov 23, 2014",Recalled from the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Sep 23, 2014",Assigned to the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Jul 16, 2014",Re-signed as a restricted free agent by the Colorado Avalanche to a one-year contract.,PAUL,CAREY,NEW,YORKRANGERS
"Jun 30, 2014",Colorado Avalanche tendered a qualifying offer.,PAUL,CAREY,NEW,YORKRANGERS
"Mar 11, 2014",Recalled from the Lake Erie Monsters (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Sep 24, 2013",Assigned to Lake Erie (AHL).,PAUL,CAREY,NEW,YORKRANGERS
"Apr 11, 2012",Signed by the Colorado Avalanche to a two-year entry-level contract.,PAUL,CAREY,NEW,YORKRANGERS
"Apr 11, 2012",Signed by the Lake Erie Monsters (AHL) to an amateur tryout contract.,PAUL,CAREY,NEW,YORKRANGERS
