Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Placed on waivers by the New York Rangers.,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 30, 2018",Recalled from the Hartford Wolf Pack (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 26, 2018",Assigned to the Hartford Wolf Pack (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 15, 2018",Recalled from the Hartford Wolf Pack (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 30, 2017",Assigned to the Hartford Wolf Pack (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 30, 2017",Acquired from the Montreal Canadiens.,PETER,HOLLAND,NEW,YORKRANGERS
"Sep 30, 2017",Placed on waivers by the Montreal Canadiens for the purpose of being assigned to the Laval Rocket (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jul 01, 2017",Signed as an unrestricted free agent by the Montreal Canadiens to a two-year contract.,PETER,HOLLAND,NEW,YORKRANGERS
"Jun 26, 2017",Arizona Coyotes did not tender a qualifying offer.,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 24, 2017","Fined $3,611 by the NHL.",PETER,HOLLAND,NEW,YORKRANGERS
"Dec 13, 2016",Recalled from the Tucson Roadrunners (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Dec 09, 2016",Acquired from the Toronto Maple Leafs.,PETER,HOLLAND,NEW,YORKRANGERS
"Jul 25, 2016",Re-signed as a restricted free agent by the Toronto Maple Leafs to a one-year contract.,PETER,HOLLAND,NEW,YORKRANGERS
"Jul 22, 2016",Placed on waivers by the Toronto Maple Leafs.,PETER,HOLLAND,NEW,YORKRANGERS
"Jul 05, 2016",Filed for salary arbitration.,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 09, 2016",Missed the last 12 regular season games (concussion).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 19, 2016","Undisclosed, day-to-day.",PETER,HOLLAND,NEW,YORKRANGERS
"Apr 05, 2015",Missed 10 games (lower body injury).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 14, 2015","Lower body injury, day-to-day.",PETER,HOLLAND,NEW,YORKRANGERS
"Jan 28, 2015",Missed 10 games (upper body injury).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 07, 2015","Upper body injury, injured reserve.",PETER,HOLLAND,NEW,YORKRANGERS
"Jan 02, 2015","Upper body injury, day-to-day.",PETER,HOLLAND,NEW,YORKRANGERS
"Jul 16, 2014",Re-signed as a restricted free agent by the Toronto Maple Leafs to a two-year contract.,PETER,HOLLAND,NEW,YORKRANGERS
"Jun 30, 2014",Toronto Maple Leafs tendered a qualifying offer.,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 13, 2014",Assigned to the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 12, 2014",Recalled from the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 22, 2014",Assigned to the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 05, 2014",Recalled from the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 02, 2014",Assigned to the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 01, 2014",Recalled from the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Feb 22, 2014",Assigned to the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Feb 22, 2014",Missed 4 games (foot injury).,PETER,HOLLAND,NEW,YORKRANGERS
"Feb 01, 2014","Foot injury, day-to-day.",PETER,HOLLAND,NEW,YORKRANGERS
"Jan 13, 2014",Recalled from the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 08, 2014",Assigned to the Toronto Marlies (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 16, 2013",Acquired from the Anaheim Ducks.,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 15, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 14, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 03, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Oct 27, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Oct 07, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Oct 07, 2013",Missed 3 games (lower body injury).,PETER,HOLLAND,NEW,YORKRANGERS
"Oct 02, 2013","Lower body injury, day-to-day.",PETER,HOLLAND,NEW,YORKRANGERS
"Apr 27, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 15, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Mar 05, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Feb 26, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Feb 13, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 27, 2013",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Jan 13, 2013",Recalled from Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Sep 14, 2012",Assigned to Norfolk (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 14, 2011",Assigned to Syracuse (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Nov 05, 2011",Recalled from Syracuse (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Sep 26, 2011",Assigned to Syracuse (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 13, 2011",Recalled from Syracuse (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Apr 05, 2011",Re-assigned to Syracuse (AHL).,PETER,HOLLAND,NEW,YORKRANGERS
"Sep 23, 2010",Returned to his junior team (Guelph-OHL).,PETER,HOLLAND,NEW,YORKRANGERS
