Date,Injury,Firstname,Lastname,City,TeamName
"Dec 07, 2017",Missed 1 game (flu).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 05, 2017","Flu, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 24, 2017",Missed 7 games (hip injury).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 09, 2017","Lower body injury, sidelined indefinitely.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 29, 2016",Missed 1 game (flu).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 27, 2016","Flu, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 12, 2016",Missed 3 games (neck spasms).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 04, 2016","Neck spasms, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 25, 2015",Missed 24 games (throat).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Feb 10, 2015","Throat, injured reserve.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Feb 04, 2015","Throat, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"May 12, 2014","Fined $5,000 by the NHL.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Jan 22, 2014",Missed 1 game (illness).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Jan 21, 2014","Illness, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 04, 2013",Signed by the New York Rangers to a seven-year contract extension.,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Oct 28, 2013",Missed 2 games (undisclosed).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Oct 23, 2013","Undisclosed, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 17, 2012",Missed 2 games (flu).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Mar 13, 2012","Flu, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Nov 10, 2009","Lower body injury, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Feb 14, 2008",Re-signed by the New York Rangers to a six-year contract extension.,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Jul 11, 2007",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 21, 2006",Missed 1 game (flu).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Dec 19, 2006","Flu, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Apr 18, 2006",Missed 7 games (hip flexor).,HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Apr 04, 2006","Hip flexor, day-to-day.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
"Jul 29, 2005","Signed by the New York Rangers to a three-year, entry-level contract.",HENRIK,LUNDQVIST,NEW,YORKRANGERS
