Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Tampa Bay Lightning.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 21, 2017",Missed 3 games (lower body injury).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 14, 2017","Lower body injury, day-to-day.",VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 13, 2017",Missed 1 game (lower body injury).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 11, 2017","Lower body injury, day-to-day.",VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Dec 31, 2016",Missed 1 game (upper body injury).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Dec 29, 2016","Upper body injury, day-to-day.",VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Dec 28, 2016",Missed 2 games (undisclosed).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Dec 22, 2016","Undisclosed, day-to-day.",VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jul 26, 2016",Re-signed as a restricted free agent by the Tampa Bay Lightning to a two-year contract.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jul 05, 2016",Filed for salary arbitration.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jun 27, 2016",Tampa Bay Lightning tendered a qualifying offer.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 20, 2016",Missed 2 games (upper body injury).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 16, 2016","Upper body injury, day-to-day.",VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jul 17, 2015",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year contract.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 04, 2015",Recalled from the Syracuse Crunch (AHL) on an emergency basis.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 13, 2015",Assigned to the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 11, 2015",Recalled from the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jan 16, 2015",Assigned to the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Jan 13, 2015",Recalled from the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Dec 03, 2014",Assigned to the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 05, 2014",Assigned to the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 26, 2014",Recalled from the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 09, 2014",Assigned to the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Feb 07, 2014",Recalled from the Syracuse Crunch (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Sep 21, 2013",Assigned to Syracuse (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Sep 14, 2012",Assigned to Syracuse (AHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Mar 13, 2012",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
"Sep 22, 2011",Returned to his junior team (London-OHL).,VLADISLAV,NAMESTNIKOV,NEW,YORKRANGERS
