Date,Injury,Firstname,Lastname,City,TeamName
"Feb 21, 2018",Missed 8 games (cervical strain).,MARC,STAAL,NEW,YORKRANGERS
"Feb 09, 2018","Cervical strain, injured reserve.",MARC,STAAL,NEW,YORKRANGERS
"Feb 05, 2018","Cervical strain, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Jan 21, 2018",Missed 2 games (hip injury).,MARC,STAAL,NEW,YORKRANGERS
"Jan 17, 2018","Hip injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Jan 31, 2017",Missed 9 games (upper body injury).,MARC,STAAL,NEW,YORKRANGERS
"Jan 04, 2017","Upper body injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Mar 11, 2016",Missed 2 games (back injury).,MARC,STAAL,NEW,YORKRANGERS
"Mar 06, 2016","Back injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Mar 04, 2016",Missed 1 game (illness).,MARC,STAAL,NEW,YORKRANGERS
"Mar 03, 2016","Illness, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Feb 25, 2016",Missed 1 game (lower body injury).,MARC,STAAL,NEW,YORKRANGERS
"Feb 23, 2016","Lower body injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Feb 18, 2016",Missed 1 game (personal reasons).,MARC,STAAL,NEW,YORKRANGERS
"Feb 17, 2016","Personal reasons, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Apr 16, 2015",Missed the last 2 regular season games (undisclosed).,MARC,STAAL,NEW,YORKRANGERS
"Apr 09, 2015","Undisclosed, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Jan 18, 2015",Signed by the New York Rangers to a six-year contract extension.,MARC,STAAL,NEW,YORKRANGERS
"Jan 01, 2014",Missed 10 games (concussion).,MARC,STAAL,NEW,YORKRANGERS
"Dec 11, 2013","Concussion, injured reserve.",MARC,STAAL,NEW,YORKRANGERS
"Dec 08, 2013","Neck injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"May 25, 2013",Missed the last 9 playoff games (eye injury).,MARC,STAAL,NEW,YORKRANGERS
"May 08, 2013","Eye injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"May 06, 2013",Missed the last 27 regular season and first 2 playoff games (facial injury).,MARC,STAAL,NEW,YORKRANGERS
"Mar 11, 2013","Facial injury, injured reserve.",MARC,STAAL,NEW,YORKRANGERS
"Mar 07, 2013","Facial injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Jan 02, 2012",Missed 36 games (concussion).,MARC,STAAL,NEW,YORKRANGERS
"Oct 05, 2011","Concussion, injured reserve.",MARC,STAAL,NEW,YORKRANGERS
"Mar 24, 2011",Missed 2 games (undisclosed).,MARC,STAAL,NEW,YORKRANGERS
"Mar 20, 2011","Undisclosed, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Mar 03, 2011",Missed 3 games (knee injury).,MARC,STAAL,NEW,YORKRANGERS
"Feb 25, 2011","Knee injury, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Sep 15, 2010",Re-signed as a restricted free agent by the New York Rangers.,MARC,STAAL,NEW,YORKRANGERS
"Feb 19, 2008",Missed 2 games (flu).,MARC,STAAL,NEW,YORKRANGERS
"Feb 15, 2008","Flu, day-to-day.",MARC,STAAL,NEW,YORKRANGERS
"Sep 30, 2006",Returned to his junior team (Sudbury-OHL).,MARC,STAAL,NEW,YORKRANGERS
"Apr 17, 2006",Re-assigned to Hartford (AHL).,MARC,STAAL,NEW,YORKRANGERS
"Sep 23, 2005",Returned to his junior team (Sudbury-OHL).,MARC,STAAL,NEW,YORKRANGERS
"Sep 21, 2005",Signed by the New York Rangers.,MARC,STAAL,NEW,YORKRANGERS
