Date,Injury,Firstname,Lastname,City,TeamName
"Jan 07, 2018",Missed 1 game (illness).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jan 06, 2018","Illness, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 09, 2017",Missed 2 games (undisclosed).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 04, 2017","Undisclosed, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 13, 2016",Missed the last regular season game (lower body injury).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 08, 2016","Lower body injury, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"May 29, 2015",Missed the last 14 playoff games (upper body injury).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 27, 2015","Upper body injury, sidelined indefinitely.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 11, 2015",Missed 2 games (general soreness).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 07, 2015","General soreness, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Mar 02, 2015",Signed by the New York Rangers to a four-year contract extension.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Nov 05, 2014",Missed 1 game (lower body injury).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Nov 03, 2014","Lower body injury, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Oct 14, 2014",Missed 1 game (shoulder injury).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Oct 12, 2014","Shoulder injury, day-to-day.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jul 22, 2014",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jul 05, 2014",Filed for salary arbitration.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jun 30, 2014",New York Rangers tendered a qualifying offer.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Mar 07, 2014",Missed 4 games (broken hand).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Feb 27, 2014","Broken hand, sidelined indefinitely.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jul 30, 2013",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jul 01, 2013",New York Rangers tendered a qualifying offer.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Mar 26, 2013",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Jun 02, 2012",Signed with Metallurg Magnitogorsk of the Kontinental Hockey League (KHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"May 25, 2012",Missed 8 regular season and 20 playoff games (broken left wrist).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Mar 24, 2012","Broken left wrist, sidelined indefinitely.",MATS,ZUCCARELLO,NEW,YORKRANGERS
"Mar 11, 2012",Recalled from Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Oct 15, 2011",Assigned to Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 18, 2011",Assigned to Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 08, 2011",Recalled from Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Apr 01, 2011",Assigned to Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Dec 27, 2010",Recalled from Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Dec 24, 2010",Assigned to Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Dec 22, 2010",Recalled from Connecticut (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Oct 03, 2010",Assigned to Hartford (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Oct 02, 2010",Recalled from Hartford (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"Sep 27, 2010",Assigned to Hartford (AHL).,MATS,ZUCCARELLO,NEW,YORKRANGERS
"May 26, 2010",Signed as a free agent by the New York Rangers.,MATS,ZUCCARELLO,NEW,YORKRANGERS
