Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 6 games (lower body injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Jan 13, 2018","Lower body injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 20, 2017","Fined $5,000 by the NHL.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Nov 15, 2017",Missed 1 game (facial injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Nov 11, 2017","Facial injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Jan 10, 2017",Missed 16 games (sprained mcl).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 03, 2016","Sprained MCL, injured reserve.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 27, 2016",Missed 2 games (lower body injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 22, 2016","Lower body injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Nov 12, 2015",Signed by the Detroit Red Wings to a seven-year contract extension.,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Apr 20, 2015",Missed the last 4 regular season and first 2 playoff games (hand injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Apr 05, 2015","Hand injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 16, 2014",Missed 7 games (shoulder injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 11, 2014","Shoulder injury, injured reserve.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 02, 2014","Shoulder injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Mar 30, 2014",Missed 7 games (lacerated leg).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Mar 18, 2014","Lacerated leg, sidelined indefinitely.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 26, 2013",Missed 5 games (head injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 21, 2013","Head injury, injured reserve.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Dec 14, 2013","Head injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"May 10, 2013",Missed the last 2 playoff games (suspended by nhl).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"May 05, 2013",Suspended by the NHL for 2 games.,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Sep 14, 2012",Re-signed as a restricted free agent by the Detroit Red Wings to a four-year contract.,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Mar 10, 2012",Missed 1 game (stomach virus).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Mar 09, 2012","Stomach virus, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 30, 2010",Missed 9 games (rib injury).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 08, 2010","Rib injury, day-to-day.",JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Aug 23, 2010",Signed by the Detroit Red Wings to a two-year contract.,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Apr 12, 2010",Recalled from Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Jan 29, 2010",Assigned to Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 10, 2009",Recalled from Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 08, 2009",Assigned to Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"May 08, 2009",Recalled from Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Feb 03, 2009",Assigned to Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Jan 30, 2009",Recalled from Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Oct 05, 2008",Assigned to Grand Rapids (AHL).,JUSTIN,ABDELKADER,DETROIT,REDWINGS
"Apr 03, 2008",Signed by the Detroit Red Wings to a three-year entry level contract.,JUSTIN,ABDELKADER,DETROIT,REDWINGS
