Date,Injury,Firstname,Lastname,City,TeamName
"Jan 26, 2018",Recalled from the Grand Rapids Griffins (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 24, 2018",Assigned to the Grand Rapids Griffins (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 22, 2018",Placed on waivers by the Detroit Red Wings.,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 20, 2017",Missed 5 games (groin).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 09, 2017","Groin, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Nov 01, 2017",Placed on waivers by the Detroit Red Wings.,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 02, 2017",Signed as a free agent by the Detroit Red Wings to a one-year contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 02, 2017",Placed on waivers by the Detroit Red Wings.,DAVID,BOOTH,DETROIT,REDWINGS
"Aug 29, 2017",Signed by the Detroit Red Wings to a professional try-out contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 17, 2016",Signed with the Admiral Vladivostok of the KHL.,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 03, 2016",Released from training camp by the Anaheim Ducks.,DAVID,BOOTH,DETROIT,REDWINGS
"Sep 20, 2016",Signed by the Anaheim Ducks to a professional try-out contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Sep 30, 2015",Released from training camp by the Florida Panthers.,DAVID,BOOTH,DETROIT,REDWINGS
"Sep 09, 2015",Signed by the Florida Panthers to a professional try-out contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 17, 2015",Missed 1 game (nose injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 15, 2015","Nose injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Nov 26, 2014",Missed 21 games (broken foot).,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 24, 2014",Recalled from the Toronto Marlies (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 21, 2014",Assigned to the Toronto Marlies (AHL) for conditioning purposes.,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 07, 2014","Broken foot, injured reserve.",DAVID,BOOTH,DETROIT,REDWINGS
"Jul 22, 2014",Signed as an unrestricted free agent by the Toronto Maple Leafs to a one-year contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Jun 17, 2014",Placed on waivers by the Vancouver Canucks for the purpose of buying him out.,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 15, 2014",Missed 3 games (undisclosed).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 07, 2014","Undisclosed, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Nov 12, 2013",Missed 8 games (lower body injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 04, 2013",Loaned to Utica (AHL) for conditioning.,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 25, 2013","Lower body injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"May 07, 2013",Missed the last 21 regular season and first 4 playoff games (left ankle injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Mar 18, 2013","Left ankle injury, injured reserve.",DAVID,BOOTH,DETROIT,REDWINGS
"Feb 26, 2013",Missed 1 game (illness).,DAVID,BOOTH,DETROIT,REDWINGS
"Feb 24, 2013","Illness, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Feb 19, 2013",Missed 14 games (groin).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 18, 2013","Groin, injured reserve.",DAVID,BOOTH,DETROIT,REDWINGS
"Jan 15, 2012",Missed 18 games (sprained right knee).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 08, 2011","Sprained right knee, injured reserve.",DAVID,BOOTH,DETROIT,REDWINGS
"Oct 22, 2011",Acquired from the Florida Panthers.,DAVID,BOOTH,DETROIT,REDWINGS
"Apr 11, 2010",Missed the last 9 regular season games (concussion).,DAVID,BOOTH,DETROIT,REDWINGS
"Mar 26, 2010","Concussion, sidelined indefinitely.",DAVID,BOOTH,DETROIT,REDWINGS
"Jan 31, 2010",Missed 45 games (concussion).,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 28, 2009","Concussion, sidelined indefinitely.",DAVID,BOOTH,DETROIT,REDWINGS
"Jul 01, 2009",Re-signed as a restricted free agent by the Florida Panthers to a six-year contract.,DAVID,BOOTH,DETROIT,REDWINGS
"Jun 29, 2009",Florida Panthers tendered a qualifying offer.,DAVID,BOOTH,DETROIT,REDWINGS
"Mar 05, 2009",Missed 1 game (rib injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Mar 03, 2009","Rib injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Feb 03, 2009","Flu, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Dec 18, 2008",Missed 8 games (left shoulder injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 01, 2008","Left shoulder injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Dec 30, 2007",Missed 8 games (knee injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 13, 2007","Knee injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Oct 26, 2007",Missed 1 game (neck injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Oct 24, 2007","Neck injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Jan 20, 2007",Missed 2 games (upper body injury).,DAVID,BOOTH,DETROIT,REDWINGS
"Jan 16, 2007","Upper body injury, day-to-day.",DAVID,BOOTH,DETROIT,REDWINGS
"Dec 27, 2006",Recalled from Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 17, 2006",Assigned to Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Dec 12, 2006",Recalled from Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 26, 2006",Assigned to Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Nov 20, 2006",Recalled from Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Sep 28, 2006",Assigned to Rochester (AHL).,DAVID,BOOTH,DETROIT,REDWINGS
"Jul 20, 2006",Signed by the Florida Panthers.,DAVID,BOOTH,DETROIT,REDWINGS
