Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 3 games (lower body injury).,TREVOR,DALEY,DETROIT,REDWINGS
"Jan 21, 2018","Lower body injury, day-to-day.",TREVOR,DALEY,DETROIT,REDWINGS
"Nov 30, 2017",Missed 2 games (upper body injury).,TREVOR,DALEY,DETROIT,REDWINGS
"Nov 25, 2017","Upper body injury, day-to-day.",TREVOR,DALEY,DETROIT,REDWINGS
"Jul 01, 2017",Signed as an unrestricted free agent by the Detroit Red Wings to a three-year contract.,TREVOR,DALEY,DETROIT,REDWINGS
"May 17, 2017",Missed the last 4 playoff games (lower body injury).,TREVOR,DALEY,DETROIT,REDWINGS
"May 08, 2017","Lower body injury, day-to-day.",TREVOR,DALEY,DETROIT,REDWINGS
"Apr 06, 2017",Missed 20 games (knee surgery).,TREVOR,DALEY,DETROIT,REDWINGS
"Feb 25, 2017","Knee surgery, injured reserve.",TREVOR,DALEY,DETROIT,REDWINGS
"Dec 28, 2016",Missed 5 games (upper body injury).,TREVOR,DALEY,DETROIT,REDWINGS
"Dec 17, 2016","Upper body injury, sidelined indefinitely.",TREVOR,DALEY,DETROIT,REDWINGS
"Jun 12, 2016",Missed the last 9 playoff games (broken left ankle).,TREVOR,DALEY,DETROIT,REDWINGS
"May 22, 2016","Broken left ankle, remainder of the playoffs.",TREVOR,DALEY,DETROIT,REDWINGS
"Dec 14, 2015",Acquired from the Chicago Blackhawks.,TREVOR,DALEY,DETROIT,REDWINGS
"Dec 11, 2015",Missed 2 games (upper body injury).,TREVOR,DALEY,DETROIT,REDWINGS
"Dec 08, 2015","Upper body injury, day-to-day.",TREVOR,DALEY,DETROIT,REDWINGS
"Jul 10, 2015",Acquired from the Dallas Stars.,TREVOR,DALEY,DETROIT,REDWINGS
"Mar 28, 2015",Missed 11 games (sprained knee).,TREVOR,DALEY,DETROIT,REDWINGS
"Mar 04, 2015","Sprained knee, sidelined indefinitely.",TREVOR,DALEY,DETROIT,REDWINGS
"Jan 27, 2015",Missed 3 games (undisclosed).,TREVOR,DALEY,DETROIT,REDWINGS
"Jan 17, 2015","Undisclosed, day-to-day.",TREVOR,DALEY,DETROIT,REDWINGS
"Jan 06, 2014",Missed 14 games (sprained left ankle).,TREVOR,DALEY,DETROIT,REDWINGS
