Date,Injury,Firstname,Lastname,City,TeamName
"Dec 02, 2017",Missed 8 games (groin).,MARTIN,FRK,DETROIT,REDWINGS
"Nov 15, 2017","Groin, day-to-day.",MARTIN,FRK,DETROIT,REDWINGS
"Jul 18, 2017",Re-signed as a restricted free agent by the Detroit Red Wings to a one-year two-way contract.,MARTIN,FRK,DETROIT,REDWINGS
"Jun 16, 2017",Detroit Red Wings tendered a qualifying offer.,MARTIN,FRK,DETROIT,REDWINGS
"Nov 01, 2016",Assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Nov 01, 2016",Claimed off waivers from the Carolina Hurricanes.,MARTIN,FRK,DETROIT,REDWINGS
"Oct 31, 2016",Placed on waivers by the Carolina Hurricanes.,MARTIN,FRK,DETROIT,REDWINGS
"Oct 09, 2016",Claimed off waivers from the Detroit Red Wings.,MARTIN,FRK,DETROIT,REDWINGS
"Sep 26, 2015",Assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"May 30, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Apr 29, 2015",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Mar 09, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Mar 03, 2015",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Feb 17, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Feb 03, 2015",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jan 31, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jan 23, 2015",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jan 18, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jan 12, 2015",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jan 10, 2015",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Nov 18, 2014",Re-assigned to the Toledo Walleye (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Oct 02, 2014",Assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Dec 19, 2013",Re-assigned to the Grand Rapids Griffins (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Nov 04, 2013",Re-assigned to Toledo (ECHL).,MARTIN,FRK,DETROIT,REDWINGS
"Sep 22, 2013",Assigned to Grand Rapids (AHL).,MARTIN,FRK,DETROIT,REDWINGS
"Jul 31, 2012",Signed by the Detroit Red Wings to a three-year entry-level contract.,MARTIN,FRK,DETROIT,REDWINGS
