Date,Injury,Firstname,Lastname,City,TeamName
"Jan 23, 2018",Missed 12 games (hand injury).,LUKE,GLENDENING,DETROIT,REDWINGS
"Jan 07, 2018","Hand injury, injured reserve.",LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 22, 2017","Hand injury, sidelined indefinitely.",LUKE,GLENDENING,DETROIT,REDWINGS
"Apr 09, 2017",Missed the last 7 regular season games (fractured foot).,LUKE,GLENDENING,DETROIT,REDWINGS
"Mar 28, 2017","Fractured foot, remainder of the regular season.",LUKE,GLENDENING,DETROIT,REDWINGS
"Jul 14, 2016",Signed by the Detroit Red Wings to a four-year contract extension.,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 29, 2015",Missed 1 game (flu).,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 28, 2015","Flu, day-to-day.",LUKE,GLENDENING,DETROIT,REDWINGS
"Apr 05, 2014",Signed by the Detroit Red Wings to a three-year contract extension.,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 31, 2013",Recalled from the Grand Rapids Griffins (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 29, 2013",Assigned to the Grand Rapids Griffins (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 13, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Nov 17, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Nov 16, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Nov 15, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Nov 08, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Oct 31, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Oct 28, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Oct 21, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Oct 11, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Sep 29, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Sep 26, 2013",Recalled from Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Sep 23, 2013",Assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Jul 05, 2013","Signed as a free agent by the Detroit Red Wings to a one-year, two-way contract.",LUKE,GLENDENING,DETROIT,REDWINGS
"Jan 13, 2013",Invited to training camp by the Detroit Red Wings.,LUKE,GLENDENING,DETROIT,REDWINGS
"Dec 17, 2012",Re-assigned to Grand Rapids (AHL).,LUKE,GLENDENING,DETROIT,REDWINGS
"Oct 09, 2012",Re-assigned to Toledo Walleye (ECHL).,LUKE,GLENDENING,DETROIT,REDWINGS
