Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018",Missed 7 games (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Feb 17, 2018","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Feb 21, 2017",Missed 2 games (illness).,MIKE,GREEN,DETROIT,REDWINGS
"Feb 18, 2017","Illness, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Jan 10, 2017",Missed 8 games (lower body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Dec 27, 2016","Lower body injury, injured reserve.",MIKE,GREEN,DETROIT,REDWINGS
"Dec 19, 2016","Undisclosed, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Feb 12, 2016",Missed 2 games (groin).,MIKE,GREEN,DETROIT,REDWINGS
"Feb 08, 2016","Groin, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Nov 07, 2015",Missed 6 games (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Oct 24, 2015","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Jul 01, 2015",Signed as an unrestricted free agent by the Detroit Red Wings to a three-year contract.,MIKE,GREEN,DETROIT,REDWINGS
"Mar 13, 2015",Missed 1 game (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Mar 11, 2015","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Feb 08, 2015",Missed 1 game (undisclosed).,MIKE,GREEN,DETROIT,REDWINGS
"Feb 06, 2015","Undisclosed, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Dec 11, 2014",Missed 7 games (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Nov 29, 2014","Upper body injury, injured reserve.",MIKE,GREEN,DETROIT,REDWINGS
"Nov 25, 2014","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Oct 11, 2014",Missed 1 game (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Oct 09, 2014","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Apr 13, 2014",Missed the last 4 regular season games (upper body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Apr 07, 2014","Upper body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Feb 27, 2014",Missed 5 games (head injury).,MIKE,GREEN,DETROIT,REDWINGS
"Jan 31, 2014","Head injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Nov 22, 2013",Missed 3 games (lower body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Nov 17, 2013","Lower body injury, injured reserve.",MIKE,GREEN,DETROIT,REDWINGS
"Nov 15, 2013","Lower body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Mar 21, 2013",Missed 10 games (groin).,MIKE,GREEN,DETROIT,REDWINGS
"Mar 05, 2013","Groin, injured reserve.",MIKE,GREEN,DETROIT,REDWINGS
"Mar 02, 2013","Groin, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Feb 26, 2013",Missed 3 games (lower body injury).,MIKE,GREEN,DETROIT,REDWINGS
"Feb 17, 2013","Lower body injury, day-to-day.",MIKE,GREEN,DETROIT,REDWINGS
"Jul 16, 2012",Re-signed as a restricted free agent by the Washington Capitals to a three-year contract.,MIKE,GREEN,DETROIT,REDWINGS
"Jun 15, 2012",Washington Capitals tendered a qualifying offer.,MIKE,GREEN,DETROIT,REDWINGS
"Mar 16, 2012",Missed 3 games (suspended by nhl).,MIKE,GREEN,DETROIT,REDWINGS
