Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 6 games (lower body injury).,DARREN,HELM,DETROIT,REDWINGS
"Jan 21, 2018","Lower body injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Jan 13, 2018","Lower body injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Nov 17, 2017",Missed 1 game (undisclosed).,DARREN,HELM,DETROIT,REDWINGS
"Nov 15, 2017","Undisclosed, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Mar 27, 2017",Missed 4 games (left knee injury).,DARREN,HELM,DETROIT,REDWINGS
"Mar 19, 2017","Left knee injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Jan 20, 2017",Missed 28 games (dislocated shoulder).,DARREN,HELM,DETROIT,REDWINGS
"Nov 17, 2016","Dislocated shoulder, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Jul 01, 2016",Re-signed by the Detroit Red Wings to a five-year contract.,DARREN,HELM,DETROIT,REDWINGS
"Mar 15, 2016",Missed 1 game (flu).,DARREN,HELM,DETROIT,REDWINGS
"Mar 13, 2016","Flu, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Oct 17, 2015",Missed 4 games (shoulder injury).,DARREN,HELM,DETROIT,REDWINGS
"Oct 04, 2015","Shoulder injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Mar 19, 2015",Missed 7 games (upper body injury).,DARREN,HELM,DETROIT,REDWINGS
"Mar 04, 2015","Upper body injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Mar 21, 2014",Missed 8 games (head injury).,DARREN,HELM,DETROIT,REDWINGS
"Mar 06, 2014","Head injury, sidelined indefinitely.",DARREN,HELM,DETROIT,REDWINGS
"Jan 20, 2014",Missed 7 games (groin).,DARREN,HELM,DETROIT,REDWINGS
"Jan 11, 2014","Groin, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Jan 01, 2014","Shoulder injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Dec 30, 2013",Missed 11 games (shoulder injury).,DARREN,HELM,DETROIT,REDWINGS
"Dec 15, 2013","Shoulder injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Dec 05, 2013","Shoulder injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Nov 02, 2013",Missed 14 games (back injury).,DARREN,HELM,DETROIT,REDWINGS
"Oct 21, 2013",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 15, 2013",Loaned to Grand Rapids (AHL) for conditioning.,DARREN,HELM,DETROIT,REDWINGS
"Sep 30, 2013","Back injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"May 29, 2013",Missed the last 44 regular season and first 14 playoff games (back injury).,DARREN,HELM,DETROIT,REDWINGS
"Feb 05, 2013","Back injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Jan 27, 2013","Back injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Jan 25, 2013",Missed 3 games (back injury).,DARREN,HELM,DETROIT,REDWINGS
"Jan 18, 2013","Back injury, injured reserve.",DARREN,HELM,DETROIT,REDWINGS
"Jun 19, 2012",Re-signed by the Detroit Red Wings to a four-year contract.,DARREN,HELM,DETROIT,REDWINGS
"Apr 20, 2012",Missed the last 4 playoff games (right forearm injury).,DARREN,HELM,DETROIT,REDWINGS
"Apr 13, 2012","Right forearm injury, remainder of the playoffs.",DARREN,HELM,DETROIT,REDWINGS
"Apr 11, 2012",Missed the last 10 regular season games (left knee injury).,DARREN,HELM,DETROIT,REDWINGS
"Mar 19, 2012","Left knee injury, sidelined indefinitely.",DARREN,HELM,DETROIT,REDWINGS
"Jan 08, 2012",Missed 4 games (groin).,DARREN,HELM,DETROIT,REDWINGS
"Dec 30, 2011","Groin, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Aug 04, 2010",Re-signed as a restricted free agent by the Detroit Red Wings to a two-year contract.,DARREN,HELM,DETROIT,REDWINGS
"Dec 19, 2009",Missed 2 games (wrist injury).,DARREN,HELM,DETROIT,REDWINGS
"Dec 14, 2009","Wrist injury, day-to-day.",DARREN,HELM,DETROIT,REDWINGS
"Oct 13, 2009",Missed 4 games (right arm injury).,DARREN,HELM,DETROIT,REDWINGS
"Sep 15, 2009","Right arm injury, early October.",DARREN,HELM,DETROIT,REDWINGS
"Apr 13, 2009",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Mar 02, 2009",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Feb 03, 2009",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Nov 28, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Nov 26, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 21, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 16, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 07, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Apr 13, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Apr 11, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Apr 06, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Mar 24, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Mar 18, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Mar 17, 2008",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Mar 12, 2008",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 19, 2007",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Oct 03, 2007",Recalled from Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Sep 29, 2007",Assigned to Grand Rapids (AHL).,DARREN,HELM,DETROIT,REDWINGS
"Sep 27, 2006",Signed by the Detroit Red Wings to a three-year contract.,DARREN,HELM,DETROIT,REDWINGS
"Sep 20, 2006",Assigned to Medicine Hat (WHL).,DARREN,HELM,DETROIT,REDWINGS
"Sep 17, 2005",Returned to his junior team (Medicine Hat-WHL).,DARREN,HELM,DETROIT,REDWINGS
