Date,Injury,Firstname,Lastname,City,TeamName
"Mar 04, 2015",Missed 4 games (head injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Feb 28, 2015","Head injury, injured reserve.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Feb 23, 2015","Head injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 24, 2014",Missed the last 24 regular season and first 3 playoff games (back surgery).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Feb 26, 2014","Back surgery, injured reserve.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 30, 2014",Missed 2 games (back injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 26, 2014","Back injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 27, 2013",Missed 11 games (herniated disc).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 11, 2013","Herniated disc, injured reserve.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 03, 2013","Herniated disc, sidelined indefinitely.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 04, 2013",Missed 2 games (groin).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Mar 31, 2013","Groin, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Oct 08, 2012",Signed with EV Zug (Switzerland).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 29, 2011",Missed the last 2 games of the regular season and 4 playoff games (lower body injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 08, 2011","Lower body injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 07, 2010",Missed 8 games (separated left shoulder).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 18, 2009","Separated left shoulder, early January.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Feb 04, 2009",Missed 3 games (back injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 29, 2009","Back injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 28, 2009",Signed by the Detroit Red Wings to a 12-year contract extension.,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Oct 22, 2008",Missed 2 games (strained groin).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Oct 16, 2008","Strained groin, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 30, 2008",Missed 2 games (back injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 22, 2008","Back injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 02, 2008",Missed 5 games (back spasms).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 22, 2007","Back spasms, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 12, 2007",Missed the last 19 games of the regular season (back spasms).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Feb 26, 2007","Back spasms, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 11, 2006",Missed 1 game (upper body injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 08, 2006","Upper body injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Apr 07, 2006","Upper body injury, left Friday's game.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 23, 2006",Missed 2 games (hip injury).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Jan 18, 2006","Hip injury, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Sep 07, 2005",Re-signed as a restricted free agent by the Detroit Red Wings to a four-year contract.,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Sep 20, 2004",NHL lockout: Signed with the Timra IK of the Elitserien Hockey League (Sweden).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Dec 17, 2003",Missed 21 games (broken leg).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Nov 04, 2003","Broken leg, mid-December.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Nov 02, 2002",Missed 3 games (groin).,HENRIK,ZETTERBERG,DETROIT,REDWINGS
"Oct 24, 2002","Groin, day-to-day.",HENRIK,ZETTERBERG,DETROIT,REDWINGS
"May 16, 2002",Signed by the Detroit Red Wings to a three-year contract.,HENRIK,ZETTERBERG,DETROIT,REDWINGS
